UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
"Liarpoliticians, UK has rogue Parliament+police",@liarsinc2,2023-10-26T17:30:47.000Z,"Liarpoliticians, UK has rogue Parliament+police
@liarsinc2
·
2m.
@BBCNews
 #BBCNewsSix bullshitting about #ArtificialIntelligence. They seem to have left out WHY TERRORIST 
@RishiSunak
 is making UK taxpayers fund £Billions on supercomputers and quantum computer. NOTHING to do with #AI, it's to break encryption you use for privacy from the state",0,2,0,1,200.00,https://pbs.twimg.com/profile_images/1544940548129263617/NPyrWexY_x96.jpg
Web3preneur,@Web3preneur_,2023-10-26T17:30:43.000Z,"Web3preneur
@Web3preneur_
·
2mReplying to 
@Web3preneur_",0,0,0,1,0.00,"https://pbs.twimg.com/profile_images/1691122173975343106/_Gm4UZ7x_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f916.svg, https://abs-0.twimg.com/emoji/v2/svg/1f916.svg"
channelpr,@ChannelPR,2023-10-26T17:30:31.000Z,"channelpr
@ChannelPR
·
2mReplying to 
@ChannelPR",0,0,0,4,0.00,"https://pbs.twimg.com/profile_images/1669450729592061952/sQ20g5j7_x96.jpg, https://pbs.twimg.com/media/F9YfKDSboAAlqJI?format=jpg&name=medium"
TechDogs Inc,@TechDogs_Inc,2023-10-26T17:30:16.000Z,"TechDogs Inc
@TechDogs_Inc
·
3mAfter an #AI tool that writes product descriptions, 
@Amazon
 launches a new generative AI tool that helps advertisers generate backgrounds for product images based on descriptions. Read on! https://bit.ly/474U66z

#Artificialintelligence #AI #Amazon #GenAI #Amazon…
Show more",0,0,0,4,0.00,https://pbs.twimg.com/profile_images/1300514106055618561/YMz7z-so_x96.jpg
Becky Livingston,@bmliving,2023-10-26T17:30:13.000Z,"Becky Livingston
@bmliving
·
3mThinking about using AI for SEO? 

Our new blog post discusses its benefits and limitations. Don't miss it! http://ow.ly/iMUx50Os7qY

#SEO #AI #DigitalMarketing",0,0,0,2,0.00,"https://pbs.twimg.com/profile_images/559472816676814848/7JyL7zZl_x96.jpeg, https://abs-0.twimg.com/emoji/v2/svg/1f50d.svg, https://pbs.twimg.com/media/F9YfFySWMAATBwc?format=jpg&name=medium"
TensorFlow,@TensorFlow,2023-10-26T17:30:01.000Z,"TensorFlow
@TensorFlow
·
3mMeet 
@huggingface
 #ML Engineer and #GDE 
@RisingSayak
 on this episode of People of #AI 

Follow along as he discusses how community contributions shaped his career, diffusion models, responsible AI, and more with hosts 
@ashley_oldacre
 and 
@gusthema
  https://goo.gle/3tWAlje",0,2,3,118,4.24,"https://pbs.twimg.com/profile_images/1103339571977248768/FtFnqC38_x96.png, https://abs-0.twimg.com/emoji/v2/svg/1f44b-1f3fd.svg, https://abs-0.twimg.com/emoji/v2/svg/27a1.svg, https://pbs.twimg.com/ext_tw_video_thumb/1717547129160318976/pu/img/kqU9lMdT7Q7y5amv.jpg"
Artmac,@Artmacsoft,2023-10-26T17:30:01.000Z,"Artmac
@Artmacsoft
·
3mUnlock Your Superhuman Potential With ChatGPT: 5 Powerful Prompts 

https://zurl.co/mTRM 

#chatgpt #ai #aiart #midjourney #openai #digitalart #chatbot #artmac #artmactrends #artmacllc",0,0,0,5,0.00,"https://pbs.twimg.com/profile_images/1405334189138972676/wjtYaf0r_x96.png, https://pbs.twimg.com/card_img/1717150125162676224/ojEeCiDL?format=jpg&name=medium"
HRCurator,@HRCurator,2023-10-26T17:30:00.000Z,"HRCurator
@HRCurator
·
3mThe 20 questions #HR leaders should ask when buying #AI https://hrexecutive.com/the-20-questions-hr-leaders-should-ask-when-buying-ai/… 
@HRExecMag
 #HCM #HRM #HRTech #HumanResources #CHRO",0,0,0,3,0.00,"https://pbs.twimg.com/profile_images/1054665011208089600/_bSiljTl_x96.jpg, https://pbs.twimg.com/card_img/1717594568189784064/vs67DtK0?format=jpg&name=medium"
Software Dev Tools,@IntelDevTools,2023-10-26T17:30:00.000Z,"Software Dev Tools
@IntelDevTools
·
3mWith Intel's #AI & machine learning software portfolio, B2B marketing automation leader 
@ActOnSoftware
, created an AI-based customer segmentation End-to-End AI solution to provide marketers new insights & ideas to engage their customers further: https://intel.ly/3Q7psTc

#oneAPI",0,1,0,8,12.50,"https://pbs.twimg.com/profile_images/1301204365928259584/UaQrPzty_x96.png, https://pbs.twimg.com/profile_images/1301200014258044929/HXJM3zyN_bigger.png, https://pbs.twimg.com/card_img/1717281459537334272/5UvM34pI?format=jpg&name=medium"
DQOps,@DQOpsCenter,2023-10-26T17:30:00.000Z,"DQOps
@DQOpsCenter
·
3mThe data quality issues originating at an external vendor or present in a line-of-business application must be addressed with the respective platform owner. Learn more in our Ebook (https://dqops.com/best-practices-for-effective-data-quality-improvement/…).
#machinelearning #AI #datascience #dataengineering #dataquality #dqops",0,0,0,2,0.00,"https://pbs.twimg.com/profile_images/1684876669621092352/0zVy9Cdv_x96.png, https://pbs.twimg.com/media/F9XE6XSX0AAqSgN?format=png&name=small"
coco us,@fab5875,2023-10-26T17:30:00.000Z,"coco us
@fab5875
·
3mIn Texas, there's an aerial view of a solar power plant at the center, surrounded by winding roads and paths leading to a bustling city with a mix of residential and commercial buildings. #Robotics Artificial Super Intelligence #ElonMusk #ChatGPT #AI",0,0,0,2,0.00,"https://pbs.twimg.com/profile_images/1717143696938852352/Ro3YuwOE_x96.jpg, https://pbs.twimg.com/media/F9YeDJgXUAArXm4?format=jpg&name=medium"
Software Engineering Institute,@SEI_CMU,2023-10-26T17:29:46.000Z,"Software Engineering Institute
@SEI_CMU
·
3mThe SEI is hiring a #datascientist to use advanced statistics, data analytics, #machinelearning, and #AI to help our government and industry clients research and solve cybersecurity challenges - https://cmu.wd5.myworkdayjobs.com/en-US/SEI/job/Data-Scientist---Technical-Program-Manager_2020700-1…",0,0,0,4,0.00,"https://pbs.twimg.com/profile_images/912339583945314304/xXg2P787_x96.jpg, https://pbs.twimg.com/media/F9YeyymX0AArioO?format=jpg&name=medium"
A-I-กับสาวๆ,@18plusGm,2023-10-26T17:29:31.000Z,"A-I-กับสาวๆ
@18plusGm
·
4mAI- กับสาวๆติดตามด้วยจ้า . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . #AIart #stablediffusion #ChilloutMix #AIart #AIグラビア#AI美女#AIArtworks #AI #aigirls #stablediffusion",0,0,1,7,14.29,"https://pbs.twimg.com/profile_images/1662347864255893509/Ak0Ub2ZZ_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f4f7.svg, https://pbs.twimg.com/media/F9Ye7KqboAIo3ug?format=jpg&name=medium"
A-I-กับสาวๆ,@18plusGm,2023-10-26T17:29:25.000Z,"A-I-กับสาวๆ
@18plusGm
·
4mAI- กับสาวๆติดตามด้วยจ้า . . . . . . . . . . . .. . . . . . . . . . . . . . . . . . . . . #AIart #stablediffusion #ChilloutMix #AIart #AIグラビア#AI美女#AIArtworks #AI #aigirls #stablediffusion",0,0,1,5,20.00,"https://pbs.twimg.com/profile_images/1662347864255893509/Ak0Ub2ZZ_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f4f7.svg, https://pbs.twimg.com/media/F9Ye56IboAIA_bB?format=jpg&name=medium"
Spiceworks News & Insights,@SpiceworksNews,2023-10-26T17:29:22.000Z,"Spiceworks News & Insights
@SpiceworksNews
·
4mUnlock the potential of #Cloud and #AI integration. Learn how to build a seamless path to #innovation.
https://spiceworks.com/tech/cloud/guest-article/how-cloud-can-help-us-master-ai/… 
@drewfirment
 @pluralsight",0,0,0,1,0.00,"https://pbs.twimg.com/profile_images/1539554148009771008/XzzMHX9K_x96.jpg, https://pbs.twimg.com/card_img/1717444002491064320/JNFUJ9ye?format=jpg&name=900x900"
