UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
The Dapper Bricks,@thedapperbricks,2023-10-30T18:52:37.000Z,"The Dapper Bricks
@thedapperbricks
·
2hLord of the rings Lego show tonight!! Great deals tonight!

#LEGO #LOTR #LordOfTheRings #Tolkien 
@LEGO_Group
 @Whatnot",0,0,0,7,0.00,"https://pbs.twimg.com/profile_images/1580239693995802631/jTWZ7-zZ_x96.jpg, https://pbs.twimg.com/card_img/1716816511825059840/1h-XIs87?format=jpg&name=medium"
Proyectando Ideas,@ProyideasBlog,2023-10-30T18:41:54.000Z,"Proyectando Ideas
@ProyideasBlog
·
2h""#LordOfTheRings: la Comunidad del Anillo"" fue estrenada hace más de 20 años. ¿Qué impacto han tenido esta saga en la cultura del cine? Muchas gracias a 
@britcultural
 por invitarme a su podcast, #CulturalTalks, para hablar de este tema 
AQUÍ https://tinyurl.com/BCtolkienPod

#LOTR #UK",0,0,0,5,0.00,"https://pbs.twimg.com/profile_images/1592890249218326535/K7SUiimn_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f603.svg, https://abs-0.twimg.com/emoji/v2/svg/27a1.svg, https://pbs.twimg.com/media/F9tVtvhW0AEb0xy?format=jpg&name=medium"
La Guerra del Anillo,@GuerraDelAnillo,2023-10-30T18:38:57.000Z,"La Guerra del Anillo
@GuerraDelAnillo
·
2hEn este artículo os mostramos cómo construir paso a paso una maqueta del patio central de Dol Guldur, con todos los detalles y perfectamente jugable.

https://laguerradelanillo.com/escenografia/grandes-maquetas/1730-como-construir-dol-guldur…

#mesbg #dolguldur #esdla #lotr #terrainmodelling",0,1,10,176,6.25,"https://pbs.twimg.com/profile_images/530503088512045056/KcxjCEsX_x96.jpeg, https://pbs.twimg.com/media/F9tVISgWIAA4aVv?format=jpg&name=small, https://pbs.twimg.com/media/F9tVI5rWsAA0msQ?format=jpg&name=small, https://pbs.twimg.com/media/F9tVJfSXAAEt7ya?format=jpg&name=small, https://pbs.twimg.com/media/F9tVKvNXIAAE2gc?format=jpg&name=small"
ExclusivelyGeekThoughts,@ThoughtsLotr,2023-10-30T18:37:40.000Z,"ExclusivelyGeekThoughts
@ThoughtsLotr
·
2hIf you think #samgamgee calling #aragorn “Strider” even after learning his name & lineage isn’t ADORABLE then you are wrong. #lotr",0,0,0,2,0.00,https://pbs.twimg.com/profile_images/1684302260401233923/ensUQdmU_x96.jpg
Sebastian Zavala,@SebastianZavala,2023-10-30T18:35:39.000Z,"Sebastian Zavala
@SebastianZavala
·
2h""#LordOfTheRings: la Comunidad del Anillo"" fue estrenada hace más de 20 años. ¿Qué impacto han tenido esta saga en la cultura del cine?
Muchas gracias a 
@britcultural
 por invitarme a su podcast, #CulturalTalks, para hablar de este tema 
AQUÍ https://tinyurl.com/BCtolkienPod

#LOTR #UK",0,0,2,50,4.00,"https://pbs.twimg.com/profile_images/1486194964275027969/1ZImJ4Sp_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f603.svg, https://abs-0.twimg.com/emoji/v2/svg/27a1.svg, https://pbs.twimg.com/media/F9tUU_YWoAAjAWa?format=jpg&name=medium"
FwooshVeebs,@FwooshVeeBee,2023-10-30T18:30:05.000Z,"FwooshVeebs
@FwooshVeeBee
·
2hIn honor of 
@ralphbakshi
's Birthday week, I am celebrating with #LordoftheRings.

#RalphBakshi #Bakshi #LotR #Knickerbocker #Fwoosh",0,4,28,532,6.02,"https://pbs.twimg.com/profile_images/1710029860683579392/xvl4NTSx_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f383.svg, https://abs-0.twimg.com/emoji/v2/svg/1f383.svg, https://pbs.twimg.com/media/F9tTFmNXIAAtMG-?format=jpg&name=medium"
SpellFire,@fire_spell,2023-10-30T18:26:18.000Z,"SpellFire
@fire_spell
·
2hHer song releases tonight at midnight.

Retweets so so appreciated
https://distrokid.com/hyperfollow/gracefey/bombadil…

""BOMBADIL"" single
#lotr #music #Halloween",2,12,27,383,10.18,"https://pbs.twimg.com/profile_images/1707331882034032640/0E5Aji20_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f4ab.svg, https://abs-0.twimg.com/emoji/v2/svg/1f52e.svg, https://abs-0.twimg.com/emoji/v2/svg/1f52e.svg, https://abs-0.twimg.com/emoji/v2/svg/1f4ab.svg, https://pbs.twimg.com/ext_tw_video_thumb/1719058053952073728/pu/img/jUK0yCQgznCjxGKW.jpg"
IGU Aras Bey,@Norman_RM,2023-10-30T16:53:31.000Z,"IGU Aras Bey
@Norman_RM
·
4hPajero will be even better
#LOTR 
@MitsubishiTR
 @mitsucars",0,0,0,22,0.00,"https://pbs.twimg.com/profile_images/1718362034360688640/kr34c0pK_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f605.svg, https://abs-0.twimg.com/emoji/v2/svg/1f44d.svg, https://pbs.twimg.com/media/F9s9C-OXcAAFOE3?format=jpg&name=900x900"
Christina Rose,@christinarose_e,2023-10-30T16:51:25.000Z,"Christina Rose
@christinarose_e
·
4hCloset cosplay of Arwen Undomiel from Lord of the Rings! Happy early Halloween! #LOTR #Tolkien #elf",0,0,4,56,7.14,"https://pbs.twimg.com/profile_images/1696964108254588928/O5eOk4gU_x96.jpg, https://pbs.twimg.com/media/F9s8kAGbUAAAnBN?format=jpg&name=medium"
José C. Q.,@CruelloDVille,2023-10-30T16:31:31.000Z,"José C. Q.
@CruelloDVille
·
4h#campamentoorco #orcencampment #scenery #terrain #escenografia #MESBG #MiddleEarth #LOTR #LordoftheRings #SDLA #SeñordelosAnillos Escenografía para MESBG: Campamento Orco https://cruellodeville.wordpress.com/2023/10/30/escenografia-para-mesbg-campamento-orco/… vía 
@CruelloDVille",0,0,0,9,0.00,"https://pbs.twimg.com/profile_images/1296774178989899776/gYV2NFu4_x96.jpg, https://pbs.twimg.com/card_img/1719028896694198272/gxBVWUCZ?format=jpg&name=small"
