UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Stine K. Hansen,@Stinekhansen,2023-10-31T11:10:43.000Z,"Stine K. Hansen
@Stinekhansen
·
10hSauron  // #digitalart #lotr #LordOfTheRings #art",0,3,14,67,25.37,"https://pbs.twimg.com/profile_images/1719366255444885504/SK4lUNzH_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f441.svg, https://pbs.twimg.com/media/F9w4BsdWYAA4eVd?format=jpg&name=medium"
Weaver Of Tales,@WeaverOfTales,2023-10-27T18:40:01.000Z,"Weaver Of Tales
@WeaverOfTales
·
Oct 27Dodge-Ah, this brings me back...I can hear the impact still.
#Inktober #Inktoberprompt #Inktober2023
#Inktoberday4 #Dodge #inktoberdodge
#Dodgeball #90skids #rubberdodgeball
#dodgeballattack #LOTR #Moria #nerdy
#lordoftherings #digitalart #digitalillustration #90s #nostalgia",0,0,2,49,4.08,"https://pbs.twimg.com/profile_images/1716831099312390145/DG8qDQea_x96.jpg, https://abs.twimg.com/hashflags/RodWave23/RodWave23.png, https://pbs.twimg.com/media/F9d4pejWUAAtTwp?format=jpg&name=medium"
Weaver Of Tales,@WeaverOfTales,2023-10-27T14:55:25.000Z,"Weaver Of Tales
@WeaverOfTales
·
Oct 27Dodge-Ah, this brings me back...I can hear the impact still.
#Inktober #Inktoberprompt #Inktober2023
#Inktoberday4 #Dodge #inktoberdodge
#Dodgeball #90skids #rubberdodgeball
#dodgeballattack #LOTR #Moria #nerdy
#lordoftherings #nostalgia    #digitalart #digitalillustration",1,0,4,108,3.70,"https://pbs.twimg.com/profile_images/1716831099312390145/DG8qDQea_x96.jpg, https://abs.twimg.com/hashflags/RodWave23/RodWave23.png, https://pbs.twimg.com/media/F9dFNRNX0AAo9u3?format=jpg&name=medium"
Rodrigo Khafre,@deux_maquina,2023-10-26T21:12:08.000Z,"Rodrigo Khafre
@deux_maquina
·
Oct 26Nazgul 

. 
. 
. 
.
.
 #digitalpainting #art #draw #drawing #drawings #sketch #digitalart #digitaldrawings #illustration #artwork #practicing #instaart #creative #picture #lordoftherings #lotr #nazgul

Show more
Show more",1,1,1,48,4.17,"https://pbs.twimg.com/profile_images/1676069987214032897/BI205BAB_x96.jpg, https://pbs.twimg.com/media/F9ZRr9yXIAAAw70?format=png&name=900x900"
Sara Temer,@Sara_Temer,2023-10-25T20:45:28.000Z,"Sara Temer
@Sara_Temer
·
Oct 25Birthday gift for 
@tupacz_art
  A stranger wraith has brought you a special pillow ^^
If ever you doubt yourself, I'll use this pillow to punch you xD

#Nazgul #nazgultober #LotR #fanart #digitalart",1,3,9,176,6.82,"https://pbs.twimg.com/profile_images/1630683424183705600/XbI0sO7x_x96.png, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://pbs.twimg.com/media/F9T-EvUXgAAc8TM?format=png&name=900x900"
CravenOfficial__,@CravenOff,2023-10-15T13:04:43.000Z,"CravenOfficial__
@CravenOff
·
Oct 15some creations i've done recently 
#jojo_anime 
#thewitcher
#LOTR 
#art  #digitalart",0,0,1,62,1.61,"https://pbs.twimg.com/profile_images/1673305256040570881/OeJcDsLd_x96.jpg, https://pbs.twimg.com/media/F8e4lvHXYAAnIar?format=jpg&name=small, https://pbs.twimg.com/media/F8e4oTFXAAAOz-Z?format=png&name=small, https://pbs.twimg.com/media/F8e4qRgWgAEnzZt?format=jpg&name=small, https://pbs.twimg.com/media/F8e4td7W8AAc1UJ?format=jpg&name=small"
Aimiji(Finn),@AimijitheArtist,2023-10-15T02:20:20.000Z,"Aimiji(Finn)
@AimijitheArtist
·
Oct 14Inktober: Day 11: Wander
So in like 6th and 7th grade, two friends at the time and I had rewritten all of the Lord of the Rings with our own OCs. It's super cringe now, but we got like 1000 pages. 
#inktober2023day11 #inktober #inktober2023 #digitalart #LOTR #hobbits #OC",0,0,2,33,6.06,"https://pbs.twimg.com/profile_images/1549811826614992903/hx1WMCP4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f33b.svg, https://pbs.twimg.com/media/F8clAhnXQAAHjKE?format=jpg&name=medium"
CatfangsComm. Open!,@CatfangsArt,2023-10-12T19:18:28.000Z,"CatfangsComm. Open!
@CatfangsArt
·
Oct 12The color planning step for a movie poster style fanart! 
I am just now noticing that each corner has a different main color 
#art #digitalart #DigitalArtist #LOTR #fellowshipofthering #Tolkien #arttwt",0,2,7,126,7.14,"https://pbs.twimg.com/profile_images/1311775380647358471/nrBRK3Qw_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f63a.svg, https://abs-0.twimg.com/emoji/v2/svg/1f389.svg, https://abs-0.twimg.com/emoji/v2/svg/1f970.svg, https://abs-0.twimg.com/emoji/v2/svg/1f923.svg, https://pbs.twimg.com/media/F8QxnDFWEAAJ8U_?format=jpg&name=large"
Christine Jones,@Christi49950934,2023-10-12T17:31:35.000Z,"Christine Jones
@Christi49950934
·
Oct 12my checks and balances .. and being cannot take another crappy series/art that starts so optimistically, and fatally uncommon sensed to smt weird. #lotr #gamedev #gaming #characterart #GameCharacterArt #digitalart",0,0,0,12,0.00,"https://pbs.twimg.com/profile_images/1562503537267212298/zBzuMrIK_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg"
Derbloggy (ReAnimated_Lee),@Derbloggy,2023-10-10T21:08:04.000Z,"Derbloggy (ReAnimated_Lee)
@Derbloggy
·
Oct 10Did a bunch of sketching over the weekend, planning on doing some ""inktober"", but so far I've only had time for a few thumbnails. So it might just end up being thumbnailtober pt2 #LOTR #thehobbit #drawing #digitalart #artist #sketching #doodle #amtgard #larp #fantasyfightgard",0,0,3,61,4.92,"https://pbs.twimg.com/profile_images/828458683348766720/su9TF0Su_x96.jpg, https://pbs.twimg.com/media/F8G3eveWYAIAK1p?format=png&name=medium, https://pbs.twimg.com/media/F8G3ewKWgAIZpwb?format=png&name=medium"
