UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Discovering Stable Diffusion,@DiscoverStabDif,2023-09-20T21:00:50.000Z,"Discovering Stable Diffusion
@DiscoverStabDif
·
Sep 20Trying out characters instead of scenery for a change, lots of characters! #stablediffusion #aiartcommunity #AIgenerated #ai #artificialintelligence #aiartists #4k #starwars #startrek #lotr",0,0,4,523,0.76,"https://pbs.twimg.com/profile_images/1651238578377064448/3xu7GOSu_x96.jpg, https://pbs.twimg.com/media/F6f1zkIXIAAFO30?format=jpg&name=small, https://pbs.twimg.com/media/F6f11fUXQAAqN4R?format=jpg&name=small, https://pbs.twimg.com/media/F6f11fzWIAAyd4I?format=jpg&name=small, https://pbs.twimg.com/media/F6f11gNWgAAqMas?format=jpg&name=small"
Bram,@BramVanroy,2023-09-06T07:36:31.000Z,"Bram
@BramVanroy
·
Sep 6This SDXL Inpainting model and demo by 
@huggingface
 is insane! I wasn't expecting much but I'm blown away by the lighting on the generated buildings.  #stablediffusion #diffusers

https://huggingface.co/spaces/diffusers/stable-diffusion-xl-inpainting…

#Prompt: ""Lord of the Rings, Rivendell, Imladris, Home of the Elves"" #lotr",0,1,5,737,0.81,"https://pbs.twimg.com/profile_images/1464180889823457281/09W5YpRi_x96.jpg, https://pbs.twimg.com/media/F5U3Db6XIAAGrXE?format=jpg&name=small, https://pbs.twimg.com/media/F5U3EP8XcAA0W8c?format=jpg&name=small"
VlaDSSvetlov,@DsSvetlov,2023-08-26T22:28:07.000Z,"VlaDSSvetlov
@DsSvetlov
·
Aug 26What they say about AI apocalypse is true. No one is safe. Even Gandalf has been barbified. The horror... #AIArtwork #Barbie #LOTR #stablediffusion #stabilityai",0,0,4,159,2.52,"https://pbs.twimg.com/profile_images/1579202556311621632/q2x0KqK2_x96.jpg, https://abs.twimg.com/hashflags/Barbie_OCTtoJAN_Update/Barbie_OCTtoJAN_Update.png, https://pbs.twimg.com/media/F4faSvqX0AAbpoQ?format=jpg&name=medium"
Jesse Juup,@jjuup,2023-08-18T19:07:21.000Z,"Jesse Juup
@jjuup
·
Aug 18The Gnomes Hollow (Copyright 2023 Jesse Juup) #bookcoverdesign #bookcover #childrensstories #illustrations #conceptart #stablediffusion #fantasy #tolkien #lotr #forest #gnomes #tonttu #mushrooms #trippyart #secretgarden",0,0,1,64,1.56,"https://pbs.twimg.com/profile_images/1438988839641563139/LDZ-IX3Q_x96.jpg, https://pbs.twimg.com/media/F31fhaJXUAEwxs8?format=jpg&name=medium"
abjilox,@abjilox,2023-08-14T07:16:31.000Z,"abjilox
@abjilox
·
Aug 14#promptart  #generativeart #stablediffusion #lotr #arwen #punk #tattoo #artwork #artoftheday #aiartwork #aiartist #aiart #aiartcommunity
https://instagram.com/p/CvqB9g3I7iA/?igshid=MTVlNTYxMjY2ZQ==…",0,0,0,28,0.00,https://pbs.twimg.com/profile_images/1619850021884551168/3WxisKZ2_x96.png
ArtfulExpCHC,@ArtfulExpCHC,2023-08-13T19:25:12.000Z,"ArtfulExpCHC
@ArtfulExpCHC
·
Aug 13Inspiration: Hobbits

#LOTR #Hobbits #art #calm #stablediffusion #midjourney #AIart #Patreon #patreoncreator #digitalart #bestdigitalart #twitterart #artistwithin #artoftheday",0,0,4,116,3.45,"https://pbs.twimg.com/profile_images/1681859901193109504/dGYcTz0m_x96.jpg, https://pbs.twimg.com/media/F3bwvqoW8AAZYjb?format=jpg&name=900x900, https://pbs.twimg.com/media/F3bwvqwWcAAe_YP?format=jpg&name=900x900, https://pbs.twimg.com/media/F3bwvqyXAAAsEWs?format=jpg&name=900x900, https://pbs.twimg.com/media/F3bwvqrWoAAdlhM?format=jpg&name=900x900"
abjilox,@abjilox,2023-07-30T00:13:20.000Z,"abjilox
@abjilox
·
Jul 29#gandalf #lotr #punk #stablediffusion #promptart #generativeart #artwork #artoftheday #aiartwork #aiartist #aiart #aiartcommunity",0,0,1,17,5.88,"https://pbs.twimg.com/profile_images/1619850021884551168/3WxisKZ2_x96.png, https://pbs.twimg.com/card_img/1719426718258352129/lXTOY5Iy?format=jpg&name=360x360"
"David Kingsley, PhD",@DavidKi43981591,2023-07-25T03:35:46.000Z,"David Kingsley, PhD
@DavidKi43981591
·
Jul 24The landscapes #StableDiffusion can generate are unreal! As a Tolkien fan, I prompted it for the hidden kingdom of Gondolin. Just look at this gorgeous scene it created. #AIArt #MidJourney #Art #Tolkien #Silmarillion #LOTR #FantasyArt #LandscapeArt",1,5,30,11223,0.31,"https://pbs.twimg.com/profile_images/1703942550145400832/sgC3JxqJ_x96.jpg, https://pbs.twimg.com/media/F12jhyKWIAAo57L?format=png&name=900x900"
Art3dlabs,@art3dlabs,2023-07-21T23:47:38.000Z,"Art3dlabs
@art3dlabs
·
Jul 21 Mind-blowing 8k art portrait  Unleash the cybernetic beauty  Explosive flowers, hyper-detailed face  Must-see trending masterpiece! #Art #LOTR #stablediffusion #AIイラスト #AIart",0,0,2,65,3.08,"https://pbs.twimg.com/profile_images/1631043067829469184/jpdnV43o_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f525.svg, https://abs-0.twimg.com/emoji/v2/svg/1f338.svg, https://abs-0.twimg.com/emoji/v2/svg/1f4a5.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3a8.svg, https://pbs.twimg.com/media/F1mTKypXsAExlHQ?format=jpg&name=medium"
Art3dlabs,@art3dlabs,2023-07-21T23:46:36.000Z,"Art3dlabs
@art3dlabs
·
Jul 21 Dark lord meets blooming art  #LOTR #Portrait #ArtisticWonders #8kMasterpiece #IncredibleTalent #FuturisticFloral #CyberColorExplosion #stablediffusion #AIイラスト #AIart",0,0,2,56,3.57,"https://pbs.twimg.com/profile_images/1631043067829469184/jpdnV43o_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f33a.svg, https://abs-0.twimg.com/emoji/v2/svg/1f33c.svg, https://pbs.twimg.com/media/F1mS--QWIAA7Ogg?format=jpg&name=medium"
