UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
@babbage86,@babbage86,2023-10-26T18:42:18.000Z,"@babbage86
@babbage86
·
27m#AIArtCommuity #AIart #AIArtwork #MidjourneyAI #midjourneyartwork",0,0,4,33,12.12,"https://pbs.twimg.com/profile_images/1706758861053460480/2TBXMZ-C_x96.jpg, https://pbs.twimg.com/media/F9YvllRWwAAtbOP?format=jpg&name=medium"
Wvunjo,@wvunjo,2023-10-26T18:39:15.000Z,"Wvunjo
@wvunjo
·
30mA state of trance

#aiartcommunity #AIartists #AIArtwork #AIArtworks #AiArtSociety #midjourneyV52 #midjourney52 #MidjourneyAI #midjourneyartwork",0,0,0,5,0.00,"https://pbs.twimg.com/profile_images/1684360579018903552/oVlLWlP4_x96.jpg, https://pbs.twimg.com/media/F9YuuP_WIAAQD-8?format=jpg&name=medium"
@babbage86,@babbage86,2023-10-26T18:37:37.000Z,"@babbage86
@babbage86
·
32mCotton Candy Highway… Watch out for the speed traps!

#AIart #AIArtwork #AIArtCommuity #MidjourneyAI #midjourneyartwork",0,0,8,45,17.78,"https://pbs.twimg.com/profile_images/1706758861053460480/2TBXMZ-C_x96.jpg, https://pbs.twimg.com/media/F9Yug08XsAAVoKv?format=jpg&name=medium"
Gurni,@gurniaiart,2023-10-26T16:55:14.000Z,"Gurni
@gurniaiart
·
2hBringing the film title to life using Midjourney  
                        Earwig and the Witch

#AIArtworks #ai #Midjourney #midjourneyartwork #Midjourneyai #StudioGhibli #gurniaiart",0,0,3,20,15.00,"https://pbs.twimg.com/profile_images/1703759169885556736/4ScBWbrq_x96.png, https://abs-0.twimg.com/emoji/v2/svg/1f3ac.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3ac.svg, https://abs-0.twimg.com/emoji/v2/svg/37-20e3.svg, https://pbs.twimg.com/media/F9YW04RW4AAiVPS?format=jpg&name=large"
NEOX2.3147,@NEOX2_3147,2023-10-26T17:00:07.000Z,"NEOX2.3147
@NEOX2_3147
·
2hPortal to another world 
#aiartcommunity #AIart #AIArtworks #midjourneyartwork",0,0,2,13,15.38,"https://pbs.twimg.com/profile_images/1567588316333178880/KnpXFvHh_x96.jpg, https://pbs.twimg.com/media/F9YYM3OXQAAbHG_?format=jpg&name=medium"
Bee the Crypto Girl,@BeeCryptoGirl,2023-10-26T17:02:00.000Z,"Bee the Crypto Girl
@BeeCryptoGirl
·
2hDaily Dose Of AI (Day 99):
Image generated on MidJourney
#midjourney #midjourneyartwork
Prompt in ""ALT"" Image Description",0,0,1,15,6.67,"https://pbs.twimg.com/profile_images/1569511765767254019/q5fMOKMY_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f449-1f3fb.svg, https://pbs.twimg.com/media/F9Lu-GXbUAAvHM2?format=jpg&name=medium"
Michael Yarichuk,@Myarichuk,2023-10-26T16:52:26.000Z,"Michael Yarichuk
@Myarichuk
·
2h'Why leave the Underdark?' the Tiefling murmured, sipping his drink. The Drow leaned in, her faint, silvery aura palpable, 'To dance in Eilistraee's moonlight, free from the Spider Queen's web and its vile followers!'
#DnDcharacter #dnd5e #midjourneyartwork",0,0,0,13,0.00,"https://pbs.twimg.com/profile_images/442601362568658944/iWvuTNn3_x96.jpeg, https://pbs.twimg.com/media/F9YWcGrXoAA55IZ?format=jpg&name=medium"
Ludvik Herrera,@ludvikherrera,2023-10-26T16:41:51.000Z,"Ludvik Herrera
@ludvikherrera
·
2hImagined Commercial Fashion Photography
Remixed by Ludvik Herrera using #Midjourney and animated 3D motion by #LeiaPix #MidjourneyAI #MidjourneyArtwork #NoFilter #FashionPhotography #ArtificialIntelligence #AI #AIArtwork #AIart #MidjourneyV52 #GenerativeAI
@LeiaInc
 @Midjourney",0,0,0,32,0.00,"https://pbs.twimg.com/profile_images/923423538161291264/zBpPNy5v_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717582237787422720/pu/img/bQo5fqNEiFPaMLLp.jpg"
Ludvik Herrera,@ludvikherrera,2023-10-26T16:40:58.000Z,"Ludvik Herrera
@ludvikherrera
·
2hImagined Commercial Fashion Photography
Remixed by Ludvik Herrera using #Midjourney and animated 3D motion by #LeiaPix #MidjourneyAI #MidjourneyArtwork #NoFilter #FashionPhotography #ArtificialIntelligence #AI #AIArtwork #AIart #MidjourneyV52 #GenerativeAI
@LeiaInc
 @Midjourney",0,0,2,35,5.71,"https://pbs.twimg.com/profile_images/923423538161291264/zBpPNy5v_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717581999601250304/pu/img/ofJfPAiTNcKszvO8.jpg"
Bee the Crypto Girl,@BeeCryptoGirl,2023-10-26T15:59:00.000Z,"Bee the Crypto Girl
@BeeCryptoGirl
·
3hDaily Dose Of AI (Day 98):
Image generated on MidJourney
#midjourney #midjourneyartwork
Prompt in ""ALT"" Image Description",0,0,0,10,0.00,"https://pbs.twimg.com/profile_images/1569511765767254019/q5fMOKMY_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f449-1f3fb.svg, https://pbs.twimg.com/media/F9LuPHrbMAAtbsO?format=jpg&name=medium"
