Timestamp,Image-Type,Text Sentiment,Word count,# of Hashtags,Quality of Images,Relevant Image,Face Presence,Colorfulness,Engagement Score
2023-10-23T14:39:53.000Z,0,0,16,5,1,1,-1,7.840724889213310,10.53
2023-08-06T12:00:30.000Z,0,1,17,4,1,1,-1,11.37526264705930,10.34
2023-08-30T07:20:06.000Z,1,0,2,9,1,1,-1,11.80596424995560,10.08
2023-08-30T05:06:34.000Z,0,0,3,7,1,-1,-1,10.789090154798900,10.00
2023-10-06T17:09:41.000Z,0,0,5,19,1,1,1,0.0,9.38
2023-08-06T10:23:11.000Z,0,0,5,7,1,1,-1,2.4572119261129800,9.02
2023-08-06T10:23:11.000Z,0,0,5,7,1,1,-1,2.1341529118292200,9.02
2023-10-10T16:57:54.000Z,0,0,5,20,1,1,-1,4.601030783851660,8.33
2023-08-13T13:29:07.000Z,0,0,5,10,1,1,1,2.2006098317498900,8.00
2023-10-29T08:30:00.000Z,0,0,13,12,1,1,1,16.158426571799900,7.55
2023-05-17T02:12:17.000Z,0,0,0,3,1,1,1,6.134182624056230,7.49
2023-10-12T19:18:28.000Z,0,0,24,7,1,1,1,34.103700631427200,7.26
2023-04-05T20:14:51.000Z,0,0,14,9,1,1,1,8.99889567029117,7.14
2023-04-05T20:14:51.000Z,0,0,14,9,1,1,1,14.490940496807600,7.14
2023-04-05T20:14:51.000Z,0,0,14,9,1,1,1,13.123600888451500,7.14
2023-04-05T20:14:51.000Z,0,0,14,9,1,1,1,14.959989424501200,7.14
2023-06-21T01:59:32.000Z,0,1,1,4,1,1,1,10.972395694831200,6.94
2023-06-21T01:59:32.000Z,0,1,1,4,1,1,1,12.226718628751100,6.94
2023-10-25T20:45:28.000Z,0,1,26,5,1,1,1,5.892235815491140,6.90
2023-03-23T09:51:23.000Z,1,1,36,6,1,1,1,16.6687633667855,6.73
2023-06-06T16:47:57.000Z,0,0,1,9,1,1,1,20.99400005475910,6.67
2023-05-17T15:35:15.000Z,0,0,36,3,1,1,-1,3.3884446792061600,6.67
2023-10-29T15:51:49.000Z,0,1,19,4,1,1,1,6.3779242796437300,6.45
2023-04-08T02:45:50.000Z,0,0,8,15,1,1,-1,22.022899451928600,6.37
2023-10-29T19:18:02.000Z,0,1,19,5,1,1,1,6.444937746099450,6.25
2023-06-26T13:50:32.000Z,1,0,0,19,1,1,-1,11.46707869173160,6.15
2023-10-15T02:20:20.000Z,0,-1,41,7,1,1,1,21.42812031119600,6.06
2023-05-15T10:28:03.000Z,0,0,1,7,1,1,1,5.666802811346090,6.05
