UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Giifoo,@Giifoo,2023-10-18T12:17:12.000Z,"Giifoo
@Giifoo
·
Oct 18""Under the Stars"" is an invitation to lose yourself and be captivated by the boundless horizons of the night sky.  

Price: 5 #xtz = 3.25$  
1/1  

https://objkt.com/asset/KT19wewB5LHuewgJENgGWb9xDuASVFB3BuaY/14…
 #tezos #nft #NFTCommuntiy #NFTDROP #tezosart #artwork #lotr #lordoftherings #objkt #art #NFTArts…
Show more",2,8,22,284,10.56,"https://pbs.twimg.com/profile_images/1709277416437194752/m_-_Rjt__x96.jpg, https://pbs.twimg.com/media/F8uKo6MWEAABSf-?format=jpg&name=medium"
Inked Nurd,@inkednurd,2023-10-23T14:39:53.000Z,"Inked Nurd
@inkednurd
·
Oct 23“A wizard is never late, nor is he early, he arrives precisely when he means to.”
#digitalart #art #LordOfTheRings #LOTR #fantasyart",0,0,4,38,10.53,"https://pbs.twimg.com/profile_images/1583706190365827072/TDuGnIL9_x96.jpg, https://pbs.twimg.com/media/F9IbVLLWQAAkbbn?format=jpg&name=medium"
ArtfulExpCHC,@ArtfulExpCHC,2023-08-06T12:00:30.000Z,"ArtfulExpCHC
@ArtfulExpCHC
·
Aug 6Current commission is to create a 'Lord of the Rings Hobbit Mansion'

Will share progress soon :)

#LOTR, #Art, #Patreon, #patreoncreator 
http://patreon.com/ArtfulExpressi…",1,0,3,29,10.34,"https://pbs.twimg.com/profile_images/1681859901193109504/dGYcTz0m_x96.jpg, https://pbs.twimg.com/media/F22KuxZXEAApQhw?format=jpg&name=medium"
Fabled Frames,@FabledFrames,2023-08-30T07:20:06.000Z,"Fabled Frames
@FabledFrames
·
Aug 30Grey Havens

#lotr #tolkien #LordOfTheRings #fantasy #fantasyart #digitalart #AIart #midjourney #aiartcommunity",0,0,12,119,10.08,"https://pbs.twimg.com/profile_images/1684751734420459520/Ok0PXBRx_x96.jpg, https://pbs.twimg.com/media/F4wwrBHa8AAg5_0?format=jpg&name=medium"
bluyakuza,@bluyakuza1,2023-08-30T05:06:34.000Z,"bluyakuza
@bluyakuza1
·
Aug 30Iron Maiden 2
#fantasyart #digitalart #bluyakuzaart #fantasy #starwars #LOTR #DnD",0,2,1,30,10.00,"https://pbs.twimg.com/profile_images/1610658896841957376/Tti5uFtl_x96.jpg, https://pbs.twimg.com/media/F4wSQrwWEAAwc0L?format=jpg&name=medium"
Awake,@Awake_1244,2023-10-06T17:09:41.000Z,"Awake
@Awake_1244
·
Oct 6Inktober day 5: Map.
-A.w.a.k.e.
_
_
_
#inktober #inktoberart #inktoberprompt #inktoberprompts #inktober2023 #inktober2023day5 #inktober2023day5map #inktoberchallenge #art #artsy #artwork #illustration #artoftheday #artist #drawing #drawdaily #drawingoftheday #drawart #lotr",0,0,3,32,9.38,"https://pbs.twimg.com/profile_images/1643936763100950529/mBRZl-yS_x96.jpg, https://pbs.twimg.com/media/F7xaiRIXoAAwQOh?format=jpg&name=medium"
Awake,@Awake_1244,2023-10-06T17:09:41.000Z,"Awake
@Awake_1244
·
Oct 6Inktober day 5: Map.
-A.w.a.k.e.
_
_
_
#inktober #inktoberart #inktoberprompt #inktoberprompts #inktober2023 #inktober2023day5 #inktober2023day5map #inktoberchallenge #art #artsy #artwork #illustration #artoftheday #artist #drawing #drawdaily #drawingoftheday #drawart #lotr",0,0,3,33,9.09,"https://pbs.twimg.com/profile_images/1643936763100950529/mBRZl-yS_x96.jpg, https://pbs.twimg.com/media/F7xaiRIXoAAwQOh?format=jpg&name=medium"
wampirka,@irkawampirka,2023-08-06T10:23:11.000Z,"wampirka
@irkawampirka
·
Aug 6Етапи швидкого скетчу для челенджу
 #ТижденьТолкіна #Tolkien #art #Angmar #LOTR #tolkienweekq #hobbitday",0,1,10,122,9.02,"https://pbs.twimg.com/profile_images/1036966796476207110/MnsxTl8G_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1e6.svg, https://pbs.twimg.com/media/F210knmWsAAM0k3?format=jpg&name=900x900, https://pbs.twimg.com/media/F210knhXkAEl-Hd?format=jpg&name=900x900, https://pbs.twimg.com/media/F210knjWcAEBokI?format=jpg&name=900x900, https://pbs.twimg.com/media/F210kneW4AA8CjK?format=jpg&name=900x900"
"Ricardo (Fantasy, Sci Fi Stan)",@RICKGMTHE1,2023-05-15T16:48:49.000Z,"Ricardo (Fantasy, Sci Fi Stan)
@RICKGMTHE1
·
May 15Incrível 
#TheRingsOfPower #RingsofPower #LOTR #fantasy #art https://twitter.com/SamiaEscorcio/status/1657796471758938114…",1,0,4,47,8.51,"https://pbs.twimg.com/profile_images/1699196312598515713/0GpBu4hn_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f9d1-200d-1f680.svg, https://abs-0.twimg.com/emoji/v2/svg/1f9d9.svg, https://abs-0.twimg.com/emoji/v2/svg/1f48d.svg, https://abs-0.twimg.com/emoji/v2/svg/1f525.svg, https://abs-0.twimg.com/emoji/v2/svg/1f60d.svg, https://abs-0.twimg.com/emoji/v2/svg/1faf6-1f3fb.svg"
Catari_art,@Catari_art,2023-10-10T16:57:54.000Z,"Catari_art
@Catari_art
·
Oct 10Inktober 2023
3 Path / Camino
@inktober
 #artgallery #digitalartist #conceptartist #concept #conceptart #digitalart #art
#inktober #inktober2023 #inktober23path #inktober2023path #inktober23camino #inktober2023camino 
#Path #camino #lotr #gandalf #balrog #khazaddum #puente",0,0,3,36,8.33,"https://pbs.twimg.com/profile_images/1359407875777511433/_fDjTLat_x96.jpg, https://pbs.twimg.com/media/F8F-ChxXwAEhWXR?format=jpg&name=medium"
