UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
ganweaving.bsky.social,@GanWeaving,2023-10-26T18:40:11.000Z,"ganweaving.bsky.social
@GanWeaving
·
33mDall-E3 is so incredibly prompt coherent! 

[prompts/details over on Bluesky & Mastodon]

#aiimages #aiart #dalle3",2,0,4,122,3.28,"https://pbs.twimg.com/profile_images/1683479285208690694/90r0aYnx_x96.jpg, https://pbs.twimg.com/media/F9YvGTqW4AAtIq4?format=jpg&name=small, https://pbs.twimg.com/media/F9YvGeWXQAApnil?format=jpg&name=small, https://pbs.twimg.com/media/F9YvGn3XwAAbtlL?format=jpg&name=small"
Touchinfo,@touchinfo23,2023-10-26T18:12:11.000Z,"Touchinfo
@touchinfo23
·
1h""Life's true magic is in moments of pure wonder""
#AIArtistCommunity #AIart #AIImage #AIillustrations #AIArtworks #AIimages #DALLE3Beta 
Goodnight world ",0,0,4,21,19.05,"https://pbs.twimg.com/profile_images/1714820125143265280/u6H-Iv4J_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f344.svg, https://pbs.twimg.com/media/F9YoqTwacAEDe2o?format=jpg&name=medium"
Sh1ft3rai,@Sh1ft3rai,2023-10-26T17:42:10.000Z,"Sh1ft3rai
@Sh1ft3rai
·
1hBarber shop vibes 

#aiimages #leonardoai #aicommunity",0,0,1,5,20.00,"https://pbs.twimg.com/profile_images/1694812119680569344/OVhbciO7_x96.jpg, https://pbs.twimg.com/media/F9Yh0x1WkAAd1F1?format=jpg&name=small, https://pbs.twimg.com/media/F9Yh0x5XoAAkQZf?format=jpg&name=small, https://pbs.twimg.com/media/F9Yh0x4WAAAKN1r?format=jpg&name=small, https://pbs.twimg.com/media/F9Yh0x2WsAAdPFL?format=jpg&name=small"
Touchinfo,@touchinfo23,2023-10-26T12:53:25.000Z,"Touchinfo
@touchinfo23
·
6hReplying to 
@touchinfo23",1,0,0,14,0.00,"https://pbs.twimg.com/profile_images/1714820125143265280/u6H-Iv4J_x96.jpg, https://pbs.twimg.com/media/F9XfUNdbUAAZ32W?format=jpg&name=medium"
Touchinfo,@touchinfo23,2023-10-26T12:53:24.000Z,"Touchinfo
@touchinfo23
·
6hReplying to 
@touchinfo23",1,0,0,15,0.00,"https://pbs.twimg.com/profile_images/1714820125143265280/u6H-Iv4J_x96.jpg, https://pbs.twimg.com/media/F9XfDAXboAAPtDt?format=jpg&name=medium"
Touchinfo,@touchinfo23,2023-10-26T12:53:23.000Z,"Touchinfo
@touchinfo23
·
6hReplying to 
@touchinfo23",1,0,1,18,5.56,"https://pbs.twimg.com/profile_images/1714820125143265280/u6H-Iv4J_x96.jpg, https://pbs.twimg.com/media/F9Xd9xbaIAA7k2n?format=jpg&name=medium"
Touchinfo,@touchinfo23,2023-10-26T12:53:22.000Z,"Touchinfo
@touchinfo23
·
6hReplying to 
@touchinfo23",1,0,2,20,10.00,"https://pbs.twimg.com/profile_images/1714820125143265280/u6H-Iv4J_x96.jpg, https://pbs.twimg.com/media/F9Xduema8AAu1Q0?format=jpg&name=medium"
Touchinfo,@touchinfo23,2023-10-26T12:53:20.000Z,"Touchinfo
@touchinfo23
·
6hExplore the limitless horizons of ChatGPT with vision capabilities! Join me on a journey where words meet visuals, creating transformative experiences. Here's a dive into some mind-blowing use cases. #AIArtistCommunity #AIart #AIImage #AIillustrations #AIArtworks #AIimages",1,0,5,82,6.10,"https://pbs.twimg.com/profile_images/1714820125143265280/u6H-Iv4J_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f680.svg, https://abs-0.twimg.com/emoji/v2/svg/1f30c.svg, https://pbs.twimg.com/media/F9Xa3JlakAEZP2b?format=jpg&name=medium"
Muحaّmad Shahزaib Paٹni,@TweetsByShahjee,2023-10-26T12:36:28.000Z,"Muحaّmad Shahزaib Paٹni
@TweetsByShahjee
·
6hMeta is likely to launch a new feature that, lets you ""Generate profile picture with AI,"" on Facebook 
#Facebook #AiImages #GenerativeAI 

Source  
@Alex193A
What are your thoughts on it?",0,0,2,22,9.09,"https://pbs.twimg.com/profile_images/1706689661811253248/yjQWwHAo_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f1f5-1f1f0.svg, https://abs-0.twimg.com/emoji/v2/svg/1f1f5-1f1f8.svg, https://abs-0.twimg.com/emoji/v2/svg/1f440.svg, https://abs-0.twimg.com/emoji/v2/svg/1f449-1f3fc.svg, https://pbs.twimg.com/media/F9Xb2o2bUAAO-dT?format=jpg&name=medium"
Dennis Chighisola,@CoachChic,2023-10-26T01:17:57.000Z,"Dennis Chighisola
@CoachChic
·
17hWould you believe this is only $10?
Yes, you can craft a visual brand identity with AI-generated images. Brand recognition, simplified. #AIImages #BrandIdentity
https://ai-writer-pro.com",0,0,1,33,3.03,"https://pbs.twimg.com/profile_images/1365789012527624201/U4tvVKPA_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1717349683121557504/pu/img/g6sT6BT5c2G4IXqp.jpg"
