UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
CatfangsComm. Open!,@CatfangsArt,2023-10-12T19:18:28.000Z,"CatfangsComm. Open!
@CatfangsArt
·
Oct 12The color planning step for a movie poster style fanart! 
I am just now noticing that each corner has a different main color 
#art #digitalart #DigitalArtist #LOTR #fellowshipofthering #Tolkien #arttwt",0,2,7,127,7.09,"https://pbs.twimg.com/profile_images/1311775380647358471/nrBRK3Qw_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f63a.svg, https://abs-0.twimg.com/emoji/v2/svg/1f389.svg, https://abs-0.twimg.com/emoji/v2/svg/1f970.svg, https://abs-0.twimg.com/emoji/v2/svg/1f923.svg, https://pbs.twimg.com/media/F8QxnDFWEAAJ8U_?format=jpg&name=large"
Catari_art,@Catari_art,2023-10-10T16:57:54.000Z,"Catari_art
@Catari_art
·
Oct 10Inktober 2023
3 Path / Camino
@inktober
 #artgallery #digitalartist #conceptartist #concept #conceptart #digitalart #art
#inktober #inktober2023 #inktober23path #inktober2023path #inktober23camino #inktober2023camino 
#Path #camino #lotr #gandalf #balrog #khazaddum #puente",0,0,3,38,7.89,"https://pbs.twimg.com/profile_images/1359407875777511433/_fDjTLat_x96.jpg, https://pbs.twimg.com/media/F8F-ChxXwAEhWXR?format=jpg&name=medium"
Andrea Sandvig,@andrealeeanne,2023-10-05T15:25:46.000Z,"Andrea Sandvig
@andrealeeanne
·
Oct 5Gandalf the Bae is a beloved member of our family and protects the living room against malcontents  #art #digitalartist #velvetelvis #procreate #tshirt #sublimation #dnd #dungeonsanddragons #wizard #wizards #lotr #graphicdesign #graphics #typography",0,0,7,430,1.63,"https://pbs.twimg.com/profile_images/1408413618216050693/qzANwncO_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f9d9-200d-2642-fe0f.svg, https://abs-0.twimg.com/emoji/v2/svg/1f52e.svg"
fawwaz فواز,@FawwazArt,2023-09-09T17:39:51.000Z,"fawwaz فواز
@FawwazArt
·
Sep 9Digital painting ""Arwen""  #digitalart #digitalartist #digitalpainting #artwork #illustration #painting #art #portrait #myartwork #LordOfTheRings #tolkien #LOTR  #رسم #رسمتي",3,13,110,1790,6.87,"https://pbs.twimg.com/profile_images/1692580067379916821/qAH97Iba_x96.jpg, https://pbs.twimg.com/media/F5md-siWQAAxxHT?format=jpg&name=medium"
enterlink art,@enterlinkart,2023-08-31T15:52:45.000Z,"enterlink art
@enterlinkart
·
Aug 31The Giant Statues of King's Valley #sdxl #fantasyart 

#digitalart #digitalartist #fantasy #landscape #lotr #gameart #conceptart #digitalpainting #characterart",0,0,4,141,2.84,"https://pbs.twimg.com/profile_images/1607773787839160322/payZ95-p_x96.png, https://pbs.twimg.com/media/F43vpmaWwAANWNd?format=jpg&name=small, https://pbs.twimg.com/media/F43vpmyWMAEyP5K?format=jpg&name=small"
Anna Jäger-Hauer_Linestyle Artwork,@AnnaJaegerHauer,2023-08-19T07:53:59.000Z,"Anna Jäger-Hauer_Linestyle Artwork
@AnnaJaegerHauer
·
Aug 19""Noro lim, Asfaloth!"" - Tolkien Fanart 2022
#lotr #jrrtolkien  #fanart #digitalartist #traditionalartist #portfolio #fantasyart #lordoftherings",0,0,3,239,1.26,"https://pbs.twimg.com/profile_images/1682474759139868673/B8rI3XdT_x96.jpg, https://pbs.twimg.com/media/F34OSiAWoAAoGeM?format=jpg&name=medium"
Moni,@mis_monigotes,2023-05-09T13:45:52.000Z,"Moni
@mis_monigotes
·
May 9Mi jardinero fiel

#samwise #sam #lotr #lordoftherings #hobbit #hobbiton #tolkien #procreate #fanart #digitalart #digitalartist",1,1,5,221,2.71,"https://pbs.twimg.com/profile_images/1625211641078943748/HJteFn5__x96.jpg, https://pbs.twimg.com/media/FvsNdRRaAAY6n04?format=jpg&name=small, https://pbs.twimg.com/media/FvsNdjgaEAIV6Dy?format=jpg&name=small, https://pbs.twimg.com/media/FvsNdykaMAETrCQ?format=jpg&name=small"
Kaos Artes,@kaos_artes,2023-05-03T14:02:18.000Z,"Kaos Artes
@kaos_artes
·
May 3Sale for this week ! Dm me :3

#commission #commissionsopen #dnd #dnd5e #dungeonsanddragons #artshare #commissions #draw #artist #digitalartist #tabletoprpg #lotr #wow #pathfinder #baldursgate #baldursgate3 #neverwinter #rpg #rpgart",0,1,4,222,2.25,"https://pbs.twimg.com/profile_images/1668993531208245249/Ve5zSiw-_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/26a1.svg, https://pbs.twimg.com/media/FvNXFEtWcAM0_mQ?format=jpg&name=medium"
しんでいさん,@petitxcookie,2023-04-21T12:30:47.000Z,"しんでいさん
@petitxcookie
·
Apr 21I've started digital drawings again, I've not drawn for a year, so it's not perfect.  I'm now working on a Lord of The Rings art. 
Of course as you can see it isn't finished yet. I'll post it when I'm done. 

#digitalart #DigitalArtist #drawing #artwork #art #artist #LoTR",1,0,0,88,0.00,"https://pbs.twimg.com/profile_images/1718889322131140609/tw0d0NYq_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f602.svg, https://abs-0.twimg.com/emoji/v2/svg/2728.svg, https://pbs.twimg.com/media/FuPPqYuX0AADS3U?format=jpg&name=medium"
Naxiwuno,@naxiwuno,2023-04-12T18:48:00.000Z,"Naxiwuno
@naxiwuno
·
Apr 12Visual mood practice
-Edoras (LOTR)

#conceptart #visualart #lotr #edoras #DigitalArtist #blender #photobashong #mattepainting #environmentart",0,0,1,54,1.85,"https://pbs.twimg.com/profile_images/1610043490632597514/C1cIxCcE_x96.jpg, https://pbs.twimg.com/media/FtiPsMnWAAY1XsT?format=jpg&name=small, https://pbs.twimg.com/media/FtiPsMmXsAYXMuN?format=jpg&name=small, https://pbs.twimg.com/media/FtiPsMhWAA8vU3r?format=jpg&name=small, https://pbs.twimg.com/media/FtiPsMjX0AEQlid?format=jpg&name=small"
