UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Enrique Pérez,@yyu31,2023-10-31T20:32:05.000Z,"Enrique Pérez
@yyu31
·
3hGregorio & Michel having their Halloween meals. Happy Halloween to everyone! (Illustration made using Midjourney AI). #illustration #digitalillustration #art #digitalart #artdirection #midjourney #ai #chimpanzee #monkey #nature #portrait #digitalportrait #halloween #lowbrow #pop",0,0,3,55,5.45,"https://pbs.twimg.com/profile_images/467278263354544128/XkHUSqP6_x96.jpeg, https://abs.twimg.com/hashflags/Halloween_Custom_Like_2023/Halloween_Custom_Like_2023.png, https://pbs.twimg.com/media/F9y4qf1XcAAEM-5?format=jpg&name=small, https://pbs.twimg.com/media/F9y4qtLWEAAoPTl?format=jpg&name=small"
yan9win,@yan9win,2023-10-31T09:29:24.000Z,"yan9win
@yan9win
·
14hLuis Suarez Caricature (Digital). 
Drawn with HiPaint app on Galaxy Z fold 5 Android phone.
My Instagram 
https://instagram.com/yan9win?igshid=OGQ5ZDc2ODk2ZA==…
#hipaint #SamsungGalaxyZFold5 #digitalpainting #digitalportrait #caricature",0,0,1,52,1.92,"https://pbs.twimg.com/profile_images/1521498327204130816/J9Edi5dK_x96.jpg, https://pbs.twimg.com/media/F9wg9P9bcAAhcVx?format=jpg&name=small, https://pbs.twimg.com/ext_tw_video_thumb/1719285398206369792/pu/img/K17yLOprOs8yYhJE.jpg, https://pbs.twimg.com/media/F9wg_cpaYAE0CcN?format=jpg&name=360x360"
Zbynek KYSELA,@DrKysela,2023-10-31T05:33:37.000Z,"Zbynek KYSELA
@DrKysela
·
18h"" Artwork No. 1402  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",1,0,2,85,2.35,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9vrBfVWsAAIQ0P?format=jpg&name=medium"
Zbynek KYSELA,@DrKysela,2023-10-31T05:32:20.000Z,"Zbynek KYSELA
@DrKysela
·
18h"" Artwork No. 1401  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",1,1,4,99,5.05,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9vqumQWAAAJTZw?format=jpg&name=medium"
Zbynek KYSELA,@DrKysela,2023-10-29T15:13:35.000Z,"Zbynek KYSELA
@DrKysela
·
Oct 29"" Artwork No. 1398  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",0,0,3,96,3.12,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9nclgcXAAE1inX?format=jpg&name=medium"
Zbynek KYSELA,@DrKysela,2023-10-29T07:11:41.000Z,"Zbynek KYSELA
@DrKysela
·
Oct 29"" Artwork No. 1395  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",0,0,1,107,0.93,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9luSkEXMAAIc9A?format=jpg&name=medium"
stoneberry,@steinsnarr,2023-10-29T00:18:01.000Z,"stoneberry
@steinsnarr
·
Oct 28Old man value study #valuestudy #digitalportrait",0,0,2,30,6.67,"https://pbs.twimg.com/profile_images/1707930208735494144/CR2OQte8_x96.jpg, https://pbs.twimg.com/media/F9kPmwEWAAAIVtN?format=jpg&name=medium"
Loris Gavazzi,@gavazzi_loris,2023-10-28T22:53:54.000Z,"Loris Gavazzi
@gavazzi_loris
·
Oct 28Arya Stark is next
#arya #aryastark #gameofthrones #got #stark #snow #starkfamily #snowfamily #characterart #characterportrait #digital #digitalportrait #digitalart #digitalportraits #digitalportraitpainting #braavos #faceless #facelessmen #facelessmenofbraavos",0,0,0,49,0.00,"https://pbs.twimg.com/profile_images/1628061271668015107/r_t3j8s4_x96.png, https://pbs.twimg.com/media/F9j8UR8WYAA9Esc?format=jpg&name=medium"
Zbynek KYSELA,@DrKysela,2023-10-28T13:19:58.000Z,"Zbynek KYSELA
@DrKysela
·
Oct 28"" Artwork No. 1394  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",0,0,3,151,1.99,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9h4_dhXAAAI0hu?format=jpg&name=medium"
Zbynek KYSELA,@DrKysela,2023-10-27T07:20:59.000Z,"Zbynek KYSELA
@DrKysela
·
Oct 27"" Artwork No. 1389  ""
Curious for more? Click the link in my bio! 
.
.
.
#digitaldrawing #digitalart #digitalportrait #pencil #pencilportrait #portrait #sketch #artforsale #commissionedart #bouchac #ladyterezie",0,0,1,79,1.27,"https://pbs.twimg.com/profile_images/948187738993516544/p8G0-r47_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/2b50.svg, https://abs-0.twimg.com/emoji/v2/svg/270f.svg, https://abs-0.twimg.com/emoji/v2/svg/2764.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F9bdPSiXYAEnsB2?format=jpg&name=medium"
