UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Weaver Of Tales,@WeaverOfTales,2023-10-27T18:40:01.000Z,"Weaver Of Tales
@WeaverOfTales
·
Oct 27Dodge-Ah, this brings me back...I can hear the impact still.
#Inktober #Inktoberprompt #Inktober2023
#Inktoberday4 #Dodge #inktoberdodge
#Dodgeball #90skids #rubberdodgeball
#dodgeballattack #LOTR #Moria #nerdy
#lordoftherings #digitalart #digitalillustration #90s #nostalgia",0,0,2,38,5.26,"https://pbs.twimg.com/profile_images/1716831099312390145/DG8qDQea_x96.jpg, https://abs.twimg.com/hashflags/RodWave23/RodWave23.png, https://pbs.twimg.com/media/F9d4pejWUAAtTwp?format=jpg&name=medium"
Weaver Of Tales,@WeaverOfTales,2023-10-27T14:55:25.000Z,"Weaver Of Tales
@WeaverOfTales
·
Oct 27Dodge-Ah, this brings me back...I can hear the impact still.
#Inktober #Inktoberprompt #Inktober2023
#Inktoberday4 #Dodge #inktoberdodge
#Dodgeball #90skids #rubberdodgeball
#dodgeballattack #LOTR #Moria #nerdy
#lordoftherings #nostalgia    #digitalart #digitalillustration",1,0,4,91,4.40,"https://pbs.twimg.com/profile_images/1716831099312390145/DG8qDQea_x96.jpg, https://abs.twimg.com/hashflags/RodWave23/RodWave23.png, https://pbs.twimg.com/media/F9dFNRNX0AAo9u3?format=jpg&name=medium"
Rodrigo Khafre,@deux_maquina,2023-10-26T21:12:08.000Z,"Rodrigo Khafre
@deux_maquina
·
Oct 26Nazgul 

. 
. 
. 
.
.
 #digitalpainting #art #draw #drawing #drawings #sketch #digitalart #digitaldrawings #illustration #artwork #practicing #instaart #creative #picture #lordoftherings #lotr #nazgul

Show more
Show more",1,1,1,43,4.65,"https://pbs.twimg.com/profile_images/1676069987214032897/BI205BAB_x96.jpg, https://pbs.twimg.com/media/F9ZRr9yXIAAAw70?format=png&name=900x900"
Aimiji(Finn),@AimijitheArtist,2023-10-15T02:20:20.000Z,"Aimiji(Finn)
@AimijitheArtist
·
Oct 14Inktober: Day 11: Wander
So in like 6th and 7th grade, two friends at the time and I had rewritten all of the Lord of the Rings with our own OCs. It's super cringe now, but we got like 1000 pages. 
#inktober2023day11 #inktober #inktober2023 #digitalart #LOTR #hobbits #OC",0,0,2,33,6.06,"https://pbs.twimg.com/profile_images/1549811826614992903/hx1WMCP4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f33b.svg, https://pbs.twimg.com/media/F8clAhnXQAAHjKE?format=jpg&name=medium"
CatfangsComm. Open!,@CatfangsArt,2023-10-12T19:18:28.000Z,"CatfangsComm. Open!
@CatfangsArt
·
Oct 12The color planning step for a movie poster style fanart! 
I am just now noticing that each corner has a different main color 
#art #digitalart #DigitalArtist #LOTR #fellowshipofthering #Tolkien #arttwt",0,2,7,125,7.20,"https://pbs.twimg.com/profile_images/1311775380647358471/nrBRK3Qw_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f63a.svg, https://abs-0.twimg.com/emoji/v2/svg/1f389.svg, https://abs-0.twimg.com/emoji/v2/svg/1f970.svg, https://abs-0.twimg.com/emoji/v2/svg/1f923.svg, https://pbs.twimg.com/media/F8QxnDFWEAAJ8U_?format=jpg&name=large"
Christine Jones,@Christi49950934,2023-10-12T17:31:35.000Z,"Christine Jones
@Christi49950934
·
Oct 12my checks and balances .. and being cannot take another crappy series/art that starts so optimistically, and fatally uncommon sensed to smt weird. #lotr #gamedev #gaming #characterart #GameCharacterArt #digitalart",0,0,0,11,0.00,"https://pbs.twimg.com/profile_images/1562503537267212298/zBzuMrIK_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3ae.svg"
Derbloggy (ReAnimated_Lee),@Derbloggy,2023-10-10T21:08:04.000Z,"Derbloggy (ReAnimated_Lee)
@Derbloggy
·
Oct 10Did a bunch of sketching over the weekend, planning on doing some ""inktober"", but so far I've only had time for a few thumbnails. So it might just end up being thumbnailtober pt2 #LOTR #thehobbit #drawing #digitalart #artist #sketching #doodle #amtgard #larp #fantasyfightgard",0,0,3,59,5.08,"https://pbs.twimg.com/profile_images/828458683348766720/su9TF0Su_x96.jpg, https://pbs.twimg.com/media/F8G3eveWYAIAK1p?format=png&name=medium, https://pbs.twimg.com/media/F8G3ewKWgAIZpwb?format=png&name=medium"
Derbloggy (ReAnimated_Lee),@Derbloggy,2023-10-10T21:07:39.000Z,"Derbloggy (ReAnimated_Lee)
@Derbloggy
·
Oct 10Did a bunch of sketching over the weekend, planning on doing some ""inktober"", but so far I've only had time for a few thumbnails. So it might just end up being thumbnailtober pt1
#LOTR #thehobbit  #drawing #digitalart #artist #sketching #doodle  #amtgard #larp #fantasyfightgard",0,0,1,58,1.72,"https://pbs.twimg.com/profile_images/828458683348766720/su9TF0Su_x96.jpg, https://pbs.twimg.com/media/F8G3Xl2W4AATsjd?format=jpg&name=small, https://pbs.twimg.com/media/F8G3XlzWcAAR42m?format=png&name=small, https://pbs.twimg.com/media/F8G3Xl1WUAEyClP?format=jpg&name=small, https://pbs.twimg.com/media/F8G3Xl1WAAARz6Q?format=jpg&name=small"
Catari_art,@Catari_art,2023-10-10T16:57:54.000Z,"Catari_art
@Catari_art
·
Oct 10Inktober 2023
3 Path / Camino
@inktober
 #artgallery #digitalartist #conceptartist #concept #conceptart #digitalart #art
#inktober #inktober2023 #inktober23path #inktober2023path #inktober23camino #inktober2023camino 
#Path #camino #lotr #gandalf #balrog #khazaddum #puente",0,0,3,34,8.82,"https://pbs.twimg.com/profile_images/1359407875777511433/_fDjTLat_x96.jpg, https://pbs.twimg.com/media/F8F-ChxXwAEhWXR?format=jpg&name=medium"
Ghastwood_niall,@Ghastwood_niall,2023-10-02T15:37:03.000Z,"Ghastwood_niall
@Ghastwood_niall
·
Oct 2#inktober23 - #day2 - #spiders
#shelob #lotr #procreate #digitalart",0,0,1,63,1.59,"https://pbs.twimg.com/profile_images/1268071039717834752/3qURt1YO_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.svg, https://pbs.twimg.com/ext_tw_video_thumb/1708868670217216000/pu/img/OL-3DhpE68rtEM0D.jpg, https://pbs.twimg.com/profile_images/1268071039717834752/3qURt1YO_normal.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3f4-e0067-e0062-e0073-e0063-e0074-e007f.svg, https://pbs.twimg.com/media/F7YGkNDWwAAN0_O?format=jpg&name=240x240"
