UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Ad Maps,@AdMapss,2023-10-30T09:05:57.000Z,"Ad Maps
@AdMapss
·
Oct 30Same ""wrong"" prompt as before 

What a difference can a single letter make! Is he Gandalf?!!

#midjourney #AIart #LOTR #DnDcharacter",0,0,3,52,5.77,"https://pbs.twimg.com/profile_images/1670074520609120257/8DR_KKKa_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f3f3-fe0f-200d-1f308.svg, https://abs-0.twimg.com/emoji/v2/svg/1f1fa-1f1e6.svg, https://abs-0.twimg.com/emoji/v2/svg/1f605.svg, https://abs-0.twimg.com/emoji/v2/svg/1f605.svg, https://pbs.twimg.com/media/F9rR_DYW0AArCJj?format=jpg&name=medium"
AJ Market,@market_aj,2023-10-23T08:00:01.000Z,"AJ Market
@market_aj
·
Oct 23NFT Collection Maker

https://warriorplus.com/o2/a/k9r9b0/0

#NFTs #NFTCommmunity #SupportEachOther #NFTartists #NFTCommunity #NFT #LOTR #gandalf #NFTCollection #opensea #Polygon #Ethereum #nftcolector #midjourney #NFT #nftcommunity #nftartist #nftcollection #nftartwork #nftart #nftartist",1,1,6,280,2.50,"https://pbs.twimg.com/profile_images/1569629196904796160/Pye86rJ7_x96.jpg, https://pbs.twimg.com/media/F8n6VtEX0AA0Xmh?format=jpg&name=medium"
AJ Market,@market_aj,2023-10-22T08:00:00.000Z,"AJ Market
@market_aj
·
Oct 22NFT Collection Maker

https://warriorplus.com/o2/a/k9r9b0/0

#NFTs #NFTCommmunity #SupportEachOther #NFTartists #NFTCommunity #NFT #LOTR #gandalf #NFTCollection #opensea #Polygon #Ethereum #nftcolector #midjourney #NFT #nftcommunity #nftartist #nftcollection #nftartwork #nftart #nftartist",3,0,7,265,2.64,"https://pbs.twimg.com/profile_images/1569629196904796160/Pye86rJ7_x96.jpg, https://pbs.twimg.com/media/F8n6SDPWIAAtda-?format=jpg&name=medium"
Middle Earth Journey,@Arda_Journeys,2023-10-16T18:07:27.000Z,"Middle Earth Journey
@Arda_Journeys
·
Oct 16Frodo, Rain

#midjourney #midjourneyart #aiartcommunity #lotr #lotrart #mej",0,0,0,18,0.00,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F8lHlsjWMAEUcMl?format=jpg&name=medium"
AI_ArtAIchemy,@ValentinaC21563,2023-10-13T02:11:08.000Z,"AI_ArtAIchemy
@ValentinaC21563
·
Oct 12A selfie of Ian McKellen as Gandalf on the London Underground

midjourey alternative: http://bit.ly/3E2h81w 

#AIArtwork #aiart #midjourney #artist #LOTR #lordoftherings",0,2,14,889,1.80,"https://pbs.twimg.com/profile_images/1699694383896158208/zEPNi0JN_x96.jpg, https://pbs.twimg.com/media/F8SP9Wxa4AApXwG?format=jpg&name=medium"
LovelyAI Magic,@EnchantingAI,2023-10-02T19:44:24.000Z,"LovelyAI Magic
@EnchantingAI
·
Oct 2#Anime #LOTR #Africa
Prompt: in the style of anime and Lord of the ring scary African muscular army large
#Midjourney #EnchantingAI #LovelyAI ",0,2,1,355,0.85,"https://pbs.twimg.com/profile_images/1696757619682430976/6zKlblhU_x96.jpg, https://pbs.twimg.com/media/F7dXoxfb0AAjMZK?format=jpg&name=medium, https://pbs.twimg.com/profile_images/1696757619682430976/6zKlblhU_normal.jpg, https://pbs.twimg.com/media/F7c0XUdboAAJkzW?format=jpg&name=360x360"
Noch ein Schneider,@noosphaere,2023-09-22T12:37:34.000Z,"Noch ein Schneider
@noosphaere
·
Sep 22Genremix.

Ich habe eine Wassermelone getragen!

#Midjourney #MidjourneyAI #Midjourney52 #DirtyDancing #lotr #hdr #orcs #orks #movie #genremix #watermelon #wassermelone",0,0,3,82,3.66,"https://pbs.twimg.com/profile_images/1683533067950931974/8uMGW9Xv_x96.jpg, https://pbs.twimg.com/media/F6oWDg_WIAA9UDC?format=jpg&name=medium"
ꏂ꒒ꄲꋪ ꋬ꒒꓄ꋬ꒐ꋪ,@elotair,2023-09-21T00:10:03.000Z,"ꏂ꒒ꄲꋪ ꋬ꒒꓄ꋬ꒐ꋪ
@elotair
·
Sep 20
·Celebrían, daughter of Galadriel & Celeborn 
#LOTR #LordOfTheRings #aiart #aigenerated #aigeneratedart #midjourney",0,0,0,92,0.00,"https://pbs.twimg.com/profile_images/1712999259082264576/72HWNPpu_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f9dd-1f3fb-200d-2640-fe0f.svg, https://abs-0.twimg.com/emoji/v2/svg/2728.svg, https://pbs.twimg.com/media/F6ggi5rakAAG4sS?format=jpg&name=medium"
ꏂ꒒ꄲꋪ ꋬ꒒꓄ꋬ꒐ꋪ,@elotair,2023-09-11T06:51:17.000Z,"ꏂ꒒ꄲꋪ ꋬ꒒꓄ꋬ꒐ꋪ
@elotair
·
Sep 11
·“But in the end it’s only a passing thing, this shadow; even darkness must pass.” — Samwise Gamgee ~The Lord of the Rings~
#lotr #lordoftherings #aiart #aigenerated #aigeneratedart #midjourney",1,0,1,92,1.09,"https://pbs.twimg.com/profile_images/1712999259082264576/72HWNPpu_x96.jpg, https://pbs.twimg.com/media/F5ucwC5bIAAjqi5?format=jpg&name=medium"
Fabled Frames,@FabledFrames,2023-08-30T07:20:06.000Z,"Fabled Frames
@FabledFrames
·
Aug 30Grey Havens

#lotr #tolkien #LordOfTheRings #fantasy #fantasyart #digitalart #AIart #midjourney #aiartcommunity",0,0,12,119,10.08,"https://pbs.twimg.com/profile_images/1684751734420459520/Ok0PXBRx_x96.jpg, https://pbs.twimg.com/media/F4wwrBHa8AAg5_0?format=jpg&name=medium"
