UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Middle Earth Journey,@Arda_Journeys,2023-10-16T18:07:27.000Z,"Middle Earth Journey
@Arda_Journeys
·
Oct 16Frodo, Rain

#midjourney #midjourneyart #aiartcommunity #lotr #lotrart #mej",0,0,0,18,0.00,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F8lHlsjWMAEUcMl?format=jpg&name=medium"
Ade M. Campbell,@ademcampbell,2023-09-26T04:15:03.000Z,"Ade M. Campbell
@ademcampbell
·
Sep 26we may pass through the havoc that smaug the #ai dragon will wreak upon the #art world... ! the Arkenstone is another matter...
#aiart #midjourneyart ('adespress' #aiartadventures on instagram).
#tolkien #lotr #thehobbit #landscapeart #fantasylandscapes",0,0,0,29,0.00,"https://pbs.twimg.com/profile_images/826425774811017216/NCy9iyoB_x96.jpg, https://pbs.twimg.com/media/F67H44ZXIAAB-aI?format=jpg&name=medium"
Middle Earth Journey,@Arda_Journeys,2023-09-05T15:04:33.000Z,"Middle Earth Journey
@Arda_Journeys
·
Sep 5The Forbidden Pool was a basin of water created by the waterfall that concealed one of the two entrances into Henneth Annûn, the hiding place of the Rangers of Ithilien.

#mej #midjourney #midjourneyart #lotr",0,0,1,23,4.35,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F5RUqQbaQAAWWUS?format=jpg&name=medium"
Aysi,@aysi_ai,2023-09-05T15:01:23.000Z,"Aysi
@aysi_ai
·
Sep 5Battleborn Éowyn, from the 
@Arda_Journeys
 collection

#mej #midjourney #midjourneyart #lotr",0,0,1,22,4.55,"https://pbs.twimg.com/profile_images/1695552161420075008/_t1oGf1U_x96.jpg, https://pbs.twimg.com/media/F5RT7_6aIAAzoeo?format=jpg&name=medium"
Middle Earth Journey,@Arda_Journeys,2023-08-27T22:42:17.000Z,"Middle Earth Journey
@Arda_Journeys
·
Aug 27Infiltrating Minas Morgul
#mej #midjourney #midjourneyart #aiartcommunity #lotr",1,0,0,23,0.00,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F4km_JEWoAEcymm?format=jpg&name=large"
Middle Earth Journey,@Arda_Journeys,2023-08-26T16:56:11.000Z,"Middle Earth Journey
@Arda_Journeys
·
Aug 26Shire Mornings
#mej #midjourneyart #lotr #midjourney",1,1,4,80,6.25,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F4eOUnVXQAARk17?format=jpg&name=medium"
Middle Earth Journey,@Arda_Journeys,2023-08-25T21:34:58.000Z,"Middle Earth Journey
@Arda_Journeys
·
Aug 25Frodo Baggins
#mej #midjourneyart #midjourney #lotr #frodo",1,1,7,108,7.41,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F4aEigfWwAAKTay?format=jpg&name=medium"
Middle Earth Journey,@Arda_Journeys,2023-08-25T08:59:17.000Z,"Middle Earth Journey
@Arda_Journeys
·
Aug 25Sméagol's Shame

#mej #lotr #midjourneyart #midjourney",1,1,1,40,5.00,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F4XXk3WWMAA6fEf?format=jpg&name=medium"
Middle Earth Journey,@Arda_Journeys,2023-08-24T20:52:04.000Z,"Middle Earth Journey
@Arda_Journeys
·
Aug 24Èomer, King of the Mark
#mej #lotr #midjourneyart",1,0,2,37,5.41,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://pbs.twimg.com/media/F4UxIYSXcAAKJfk?format=jpg&name=medium"
Middle Earth Journey,@Arda_Journeys,2023-08-23T08:55:40.000Z,"Middle Earth Journey
@Arda_Journeys
·
Aug 23Here's one to get us started, the full size of my Gandalf profile picture 

#mej #gandalf #lotr #midjourney #midjourneyart",1,0,0,45,0.00,"https://pbs.twimg.com/profile_images/1694270974277898242/_0Uj6X3s_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f9d9-200d-2642-fe0f.svg, https://pbs.twimg.com/media/F4NDkOXX0AAP_NM?format=jpg&name=large"
Jasonhastheace,@jasonhastheace,2023-07-08T14:43:41.000Z,"Jasonhastheace
@jasonhastheace
·
Jul 8Standing strong against the dragon

Using midjourney and DaVinci resolve.

#midjourneyV52 #midjourneyart #AIArtworks #aiartcommunity #AIArtGallery #SCOTLAND #LOTR #ArtistOnTwitter #redbubbleartist",0,0,3,128,2.34,"https://pbs.twimg.com/profile_images/1648702440093409282/D8XU_J2o_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1677688029383729153/pu/img/625dNWdS8CzlT-UR.jpg"
Cristian Nedelcu,@nedctian,2023-07-04T18:08:04.000Z,"Cristian Nedelcu
@nedctian
·
Jul 4New #LOTR #prompt: Hobbit house in the style of Rembrandt 
#OC #AIart #aiartcommunity #midjourney #MidjourneyAI #ai #midjourneyart #Tolkien #hobbit  #nature #modernism #midjourneyv5 #midjourneyv5 #Nordic #PARADISE #bearfeet #Village #life #lifestyle #sauron #Epic #winrina",1,2,4,543,1.10,"https://pbs.twimg.com/profile_images/1655940211157639168/TuWzMuC7_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f1f7-1f1f4.svg, https://abs-0.twimg.com/emoji/v2/svg/1f4ce.svg, https://pbs.twimg.com/media/F0NhbyPWIBEKWRf?format=jpg&name=medium"
CreativeGravity,@CreativGravity,2023-05-20T16:07:12.000Z,"CreativeGravity
@CreativGravity
·
May 20Keanu Reeves as Aragorn from Lord of the Rings

#ai #aiart #aiartcommunity #aiartwork  #aidesign #midjourney #midjourneyai  #digitalart #LOTR #midjourneygallery #aiartdaily #aiartcommunity #AIArtGallery #digitalart #digitalportrait #artoftheday #midjourneyart  #digitalart #art",0,0,4,139,2.88,"https://pbs.twimg.com/profile_images/1679214705699586049/vLnSp13O_x96.jpg, https://pbs.twimg.com/media/FwlXTh8WwAAkV66?format=jpg&name=medium"
Ambrose gimme.eth,@AmbroseLerma,2023-04-26T18:08:27.000Z,"Ambrose gimme.eth
@AmbroseLerma
·
Apr 26Today's theme is #Baby Lord of the Rings characters.
This was fun to do. 
#ai #aiartist #midjourney #midjourneyart #midjourneyartwork #AIArtworks #aiartcommunity #lotr #LordOfTheRings",1,9,17,483,5.38,"https://pbs.twimg.com/profile_images/1652109433164406784/mU2swgqG_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1651286544232087553/pu/img/HZnGRSNzywS_ZJ7d.jpg"
