UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
The Lord Of The Rings Culture,@LOTRCulture,2023-11-02T17:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
9mHold on for just a moment!

#memes #LOTR #lordoftherings #movies",0,0,1,6,16.67,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F951NtrakAAHml7?format=jpg&name=360x360"
AmazonLinkBot,@amazonlinkbot,2023-11-02T17:24:18.000Z,"AmazonLinkBot
@amazonlinkbot
·
14mEmbark on an epic adventure with the second installment of J.R.R. Tolkien's masterwork.Experience #TheTwoTowers read by the brilliant Andy Serkis . Follow Frodo & Sam's solitary journey, but beware - they're not entirely alone.#LOTR #Audible #Epic
https://amzn.to/3u0h0xV",0,0,0,3,0.00,"https://pbs.twimg.com/profile_images/1708191160970194945/iJzVrUKI_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f6a3-200d-2642-fe0f.svg, https://abs-0.twimg.com/emoji/v2/svg/1f399.svg, https://abs-0.twimg.com/emoji/v2/svg/1f333.svg, https://pbs.twimg.com/ext_tw_video_thumb/1720129700196945920/pu/img/38ikvz74ZDflclkp.jpg"
Daniel Mumby,@MumbyatMovies,2023-11-02T17:20:11.000Z,"Daniel Mumby
@MumbyatMovies
·
18mI love film, and I haven't seen either #Oppenheimer or #KillersoftheFlowerMoon, but I'm inclined to agree. There are always exceptions (#LOTR, for instance), but if you need more than three hours, split your film in two or make it a mini-series",0,0,0,18,0.00,"https://pbs.twimg.com/profile_images/1669104675402969088/4mDNrDZ9_x96.jpg, https://pbs.twimg.com/profile_images/1308003104202395649/49NrcIws_normal.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f621.svg, https://abs-0.twimg.com/emoji/v2/svg/1f5ef.svg"
AmazonLinkBot,@amazonlinkbot,2023-11-02T17:15:52.000Z,"AmazonLinkBot
@amazonlinkbot
·
23mEmbark on a breathtaking journey into the realms of Middle Earth with the #Audible version of 'The Fellowship of the Ring'. Get ready to be swayed by the power of the 'One Ring'  Love fantasy, history, or Elvish tongues? 
#Tolkien #LotR
https://amzn.to/45YAIHE",0,0,0,3,0.00,"https://pbs.twimg.com/profile_images/1708191160970194945/iJzVrUKI_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1fa84.svg, https://abs-0.twimg.com/emoji/v2/svg/1f4da.svg, https://abs-0.twimg.com/emoji/v2/svg/1f30d.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3a7.svg, https://pbs.twimg.com/ext_tw_video_thumb/1720127541564825600/pu/img/por7zfdNF8Tzqbe7.jpg"
The Lord Of The Rings Culture,@LOTRCulture,2023-11-02T13:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
4hYep! Definitely was there! 

#memes #LOTR #lordoftherings #movies",0,0,0,28,0.00,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F950mWZbMAA-4GS?format=png&name=900x900"
Warhammer Official,@warhammer,2023-11-02T13:01:22.000Z,"Warhammer Official
@warhammer
·
4hAttending your first Middle-earth Strategy Battle Game tournament needn't be as daunting as heading into Mordor! 

Check out these top tips. 

https://ow.ly/LKRp50Q3mKU

#WarhammerCommunity #LoTR #MiddleEarth",4,8,91,15247,0.65,"https://pbs.twimg.com/profile_images/1568189893372674050/RAmefuI7_x96.jpg, https://pbs.twimg.com/media/F97kpz4XkAAaqPd?format=jpg&name=medium"
PapyMagic,@PapyVince,2023-11-02T11:31:42.000Z,"PapyMagic
@PapyVince
·
6h« Commande Playin prête à partir dès le 3 novembre »
Ma preco #MTGLOTR #LOTR ne va pas tarder 
Merci 
@Playin_by_MB
 pour votre sérieux qualité de service ",0,0,0,8,0.00,"https://pbs.twimg.com/profile_images/1700057793020002304/mxNVM_AR_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f917.svg, https://pbs.twimg.com/tweet_video_thumb/F97QJ8BWUAA0XDg.jpg"
The Lord Of The Rings Culture,@LOTRCulture,2023-11-02T11:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
6hI think he succeeded 

#memes #LOTR #lordoftherings #movies",0,0,6,75,8.00,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F950KOGbYAA88jS?format=png&name=900x900"
The Knight’s Vault,@theknightsvault,2023-11-02T11:22:41.000Z,"The Knight’s Vault
@theknightsvault
·
6hReplying to 
@theknightsvault",0,0,0,25,0.00,"https://pbs.twimg.com/profile_images/827456253622353921/lk2Im6PA_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1720038680251764736/pu/img/RsLvFrYpxm7eR5L3.jpg"
oritkk,@tkkDPXB,2023-11-02T09:50:59.000Z,"oritkk
@tkkDPXB
·
7hマゾムの家イベント【闇に潜むもの】もう仮面ゲットまで行けましたか！？
1人でめっちゃ苦労してゲットしました
11/4までです！
#中つ国創作先駆者 #戦いの幕開け #LordoftheRings #LOTR",0,0,6,146,4.11,"https://pbs.twimg.com/profile_images/736162780324102144/OpW1HbY4_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f602.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://abs-0.twimg.com/emoji/v2/svg/261d.svg, https://pbs.twimg.com/media/F965GNYaEAAlPb1?format=jpg&name=medium"
