UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
The Lord Of The Rings Culture,@LOTRCulture,2023-11-01T15:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
1hYou can't just watch ONE of the movies 

#memes #LOTR #lordoftherings #movies",0,0,2,30,6.67,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9x7W79aAAAOHd3?format=jpg&name=small"
The Lord Of The Rings Culture,@LOTRCulture,2023-11-01T13:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
3hConfusion 100% 

#memes #LOTR #lordoftherings #movies",0,0,0,41,0.00,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9x66CUawAAVljB?format=jpg&name=small"
The Lord Of The Rings Culture,@LOTRCulture,2023-11-01T11:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
5hA little bit of bragging

#memes #LOTR #lordoftherings #movies",0,0,1,42,2.38,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9x6je4b0AAjG_u?format=jpg&name=medium"
The Lord Of The Rings Culture,@LOTRCulture,2023-11-01T09:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
7hMoth on a mission 

#memes #LOTR #lordoftherings #movies",0,0,4,61,6.56,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9x6BtAbIAAVoYL?format=jpg&name=medium"
The Lord Of The Rings Culture,@LOTRCulture,2023-11-01T07:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
9hWhoops, typo. 

#memes #LOTR #lordoftherings #movies",0,0,4,59,6.78,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9x5yfraYAAZWjf?format=jpg&name=medium"
The Lord Of The Rings Culture,@LOTRCulture,2023-11-01T03:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
13hWell... A horse isn't THAT bad. #memes #LOTR #lordoftherings #movies",0,1,2,99,3.03,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9t1Wqfb0AAIRdO?format=jpg&name=medium"
The Lord Of The Rings Culture,@LOTRCulture,2023-10-31T07:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
Oct 31Hold strong! Mariah is coming! 

#memes #LOTR #lordoftherings #movies",0,0,1,62,1.61,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9twUCcaIAAcAqy?format=jpg&name=240x240"
The Lord Of The Rings Culture,@LOTRCulture,2023-10-31T05:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
Oct 31Pretty accurate toddler interaction 

#memes #LOTR #lordoftherings #movies",0,0,1,60,1.67,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9qvbicaoAACzqD?format=jpg&name=medium"
The Lord Of The Rings Culture,@LOTRCulture,2023-10-31T03:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
Oct 30Mweheheh. Success 

#memes #LOTR #lordoftherings #movies",0,2,13,142,10.56,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9qu-1bbMAAruR9?format=jpg&name=small"
The Lord Of The Rings Culture,@LOTRCulture,2023-10-31T01:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
Oct 30Fear 100% 

#memes #LOTR #lordoftherings #movies",0,0,3,45,6.67,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9qulZTbAAACFzp?format=jpg&name=medium"
