UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Tim,@theonetimfrom91,2023-10-30T00:30:37.000Z,"Tim
@theonetimfrom91
·
20hThis was a real TBS ad….  
@SeanAstin
  I ship Sam & Frodo 

#SamAndFrodo #LOTR #TBS",0,8,6,1148,1.22,"https://pbs.twimg.com/profile_images/1716960939453382656/HLTUOMau_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f602.svg, https://pbs.twimg.com/amplify_video_thumb/1718787365055971328/img/TkJrjvObZojQHdkc.jpg"
Tazmania Canavarı 62,@Maradona509xxx,2023-10-30T00:04:26.000Z,"Tazmania Canavarı 62
@Maradona509xxx
·
20h#LOTR
Bu acılarla dolu gülüşün içinde 6500 yıllık bir ömür, onlarca savaş , öldürülmüş yüzlerce yoldaş , milyonlarca ölü , mağlup edilmiş Morgoth ve Sauron var.",0,0,6,1411,0.43,"https://pbs.twimg.com/profile_images/1556376570297737227/jCgR_VMg_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1718780835862544384/pu/img/JDLBK2TJdoW1HsAI.jpg"
Alerta Geek,@AlertaGeekCL,2023-10-29T23:56:08.000Z,"Alerta Geek
@AlertaGeekCL
·
21h#Eventos | Hoy te mostramos algunos de los representantes de stands que estuvieron en la Zona Fanaticos de 
@comicconchile
 2023
 
Conoce más de 
@alianzarebelde
 @Ghostfanscl y la Hermandad de Montaraces

#Cazafantasmas #cccl23 #StarWars #LotR #comicconchile2023",0,0,0,68,0.00,https://pbs.twimg.com/profile_images/1466845662406979585/Q9grkFF7_x96.jpg
Tazmania Canavarı 62,@Maradona509xxx,2023-10-29T23:35:59.000Z,"Tazmania Canavarı 62
@Maradona509xxx
·
21h#LOTR
Kendi savaşında savaşan bir kral.
Bunu görmek güzel olurdu. :))",0,0,2,1202,0.17,"https://pbs.twimg.com/profile_images/1556376570297737227/jCgR_VMg_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1718773667771953152/pu/img/alDmY7h0DWjfOEEr.jpg"
The Lord Of The Rings Culture,@LOTRCulture,2023-10-29T23:30:00.000Z,"The Lord Of The Rings Culture
@LOTRCulture
·
21hPure rage. 

#memes #LOTR #lordoftherings #movies",0,0,4,87,4.60,"https://pbs.twimg.com/profile_images/1362545566828417026/WI5yxaWj_x96.jpg, https://pbs.twimg.com/media/F9lpc7Ob0AAF1-e?format=jpg&name=900x900"
Heath Ledger,@HeathLegend,2023-10-29T21:08:49.000Z,"Heath Ledger
@HeathLegend
·
23h Orlando Bloom for “The Lord of The Rings: The Fellowship of The Ring” (2001) Dir. Peter Jackson, Photographed by 
@AmandaDeCadenet
, Los Angeles, 2001. 

#OrlandoBloom #LOTR20 #LOTR #TheLordOfTheRings #Legolas #AmandaDeCadenet #Photoshoot #Portrait #Film #HD #2001 #2000s",0,2,7,207,4.35,"https://pbs.twimg.com/profile_images/1682789572353114112/7wZt0Yfb_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f4f8.svg, https://abs-0.twimg.com/emoji/v2/svg/1f39e.svg, https://abs-0.twimg.com/emoji/v2/svg/1f1ec-1f1e7.svg, https://abs-0.twimg.com/emoji/v2/svg/1fa77.svg, https://abs-0.twimg.com/emoji/v2/svg/1f99c.svg, https://pbs.twimg.com/media/F9otG3lXYAA6zCJ?format=jpg&name=medium"
Chloe EH Scott,@EdinburghKnee,2023-10-29T20:40:18.000Z,"Chloe EH Scott
@EdinburghKnee
·
Oct 29Watched #LOTR with the gang this weekend. 
@lauramcw
 reckons this is like me with my ward round. Cheeky #orthotwitter #verticallychallenged #true",3,0,17,2066,0.82,"https://pbs.twimg.com/profile_images/1515363867056091157/46_aidqQ_x96.jpg, https://pbs.twimg.com/media/F9onXBaWAAAudW3?format=jpg&name=medium"
Normalny?,@normalny88,2023-10-29T20:37:21.000Z,"Normalny?
@normalny88
·
Oct 29#LOTR",2,0,19,312,6.09,"https://pbs.twimg.com/profile_images/1701715014153818112/LiYGvqu9_x96.jpg, https://pbs.twimg.com/media/F9omrDEXAAA9lsa?format=jpg&name=small, https://pbs.twimg.com/media/F9omrgqW0AAo9f6?format=jpg&name=small, https://pbs.twimg.com/media/F9omr9tWoAA4Ldf?format=jpg&name=small"
Dr Hannah McDonald,@HannahAitch,2023-10-29T20:28:11.000Z,"Dr Hannah McDonald
@HannahAitch
·
Oct 29Discussing “On Fairy-stories” with Verlyn Flieger is the best possible way to spend a Sunday evening! Brilliant first class on Tolkien’s essays tonight! I have so much to think about. 

#Tolkien #LOTR #LordOfTheRings #TheHobbit",0,5,65,2131,3.28,"https://pbs.twimg.com/profile_images/1582371312999309315/_P46wWX0_x96.jpg, https://pbs.twimg.com/media/F9oklrmWgAAUxw1?format=jpg&name=medium"
MrHereticC.TTV,@MrHereticC,2023-10-29T20:23:45.000Z,"MrHereticC.TTV
@MrHereticC
·
Oct 29My first HORDE!!
Lord of the Rings - Return to Moria
#lordoftherings #lotr #returntomoria   
Watch live - https://twitch.tv/mrhereticc #pcgaming #gamer #games #gaming #videogames #videogaming #videogame #gamestream #gamestreamer #gamestreaming",0,0,2,67,2.99,"https://pbs.twimg.com/profile_images/1378115412274073601/0whI9khR_x96.jpg, https://pbs.twimg.com/ext_tw_video_thumb/1718725205067980800/pu/img/hLeXf8a-RhHfGo8G.jpg"
