UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Diary AI,@MonToNiOo,2023-10-26T18:15:28.000Z,"Diary AI
@MonToNiOo
·
2mThe only way to do great work is to love what you do.- Steve Jobs
Tool:https://maze.guru/?ref=auto 
#AIArtwork #AIグラビア #mazeguru #animegirl #AnimeArt #aiartcommunity #midjourney #stablediffusion#dalle3#chatgpt3",0,0,0,5,0.00,"https://pbs.twimg.com/profile_images/1677208683430948870/mGPAU0YZ_x96.jpg, https://pbs.twimg.com/media/F9YpcbYboAAqa4w?format=jpg&name=large"
Katia || IFK design,@Katia_IFKdesign,2023-10-26T18:15:27.000Z,"Katia || IFK design
@Katia_IFKdesign
·
2mLa Mort

#artwork #creativity #creatureart #katiaiosca #datart #digitalart #artificialintelligence #midjourney #adobefirefly #graphicdesign #designdigital #lamuerte #halloween #fubiz",0,0,0,3,0.00,"https://pbs.twimg.com/profile_images/762621654623289344/57UD9gXM_x96.jpg, https://pbs.twimg.com/media/F9YpNqKWsAIZqZE?format=jpg&name=small, https://pbs.twimg.com/media/F9YpNqKWkAAUylm?format=jpg&name=small, https://pbs.twimg.com/media/F9YpNqHXYAACeq5?format=jpg&name=small, https://pbs.twimg.com/media/F9YpNqKXUAAu7h7?format=jpg&name=small"
Riccardo,@RyszardRiccardo,2023-10-26T18:15:03.000Z,"Riccardo
@RyszardRiccardo
·
3mUśmiechnij się! 
#midjourney #aiartcommunity #AIart #midjourneyv52 #aiartist #AIArtwork #ArtistOnTwitter #AIbeauties #darkai",0,1,2,8,37.50,"https://pbs.twimg.com/profile_images/1464605791051259910/7Y6C1qJJ_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f603.svg, https://pbs.twimg.com/media/F9YpSoFX0AAhQ7B?format=jpg&name=medium"
Piotr Skowroński,@ps_frequent_art,2023-10-26T18:08:19.000Z,"Piotr Skowroński
@ps_frequent_art
·
10mReplying to 
@ps_frequent_art",2,0,0,7,0.00,"https://pbs.twimg.com/profile_images/1432692341593231361/T7yOfd17_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/26a1.svg, https://pbs.twimg.com/media/F9YnzObWUAA-yJJ?format=png&name=medium"
Black Canvas NFT,@nft_blackcanvas,2023-10-26T18:08:00.000Z,"Black Canvas NFT
@nft_blackcanvas
·
10mThe giant and the little Man
 BlackCanvas Ai Art 
#AIart #digitalart #Creative #illustrationart #aiartcommunity #NFTcommunity #MidjourneyAI #Midjourney",0,30,5,120,29.17,"https://pbs.twimg.com/profile_images/1680332523178426368/yWLneOln_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f518.svg, https://abs-0.twimg.com/emoji/v2/svg/1f518.svg, https://abs-0.twimg.com/emoji/v2/svg/25fe.svg, https://abs-0.twimg.com/emoji/v2/svg/25fe.svg, https://pbs.twimg.com/media/F9YnvICWkAAJ0wh?format=jpg&name=900x900"
Piotr Skowroński,@ps_frequent_art,2023-10-26T18:07:57.000Z,"Piotr Skowroński
@ps_frequent_art
·
10mReplying to 
@ps_frequent_art",1,0,0,9,0.00,"https://pbs.twimg.com/profile_images/1432692341593231361/T7yOfd17_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/26a1.svg, https://pbs.twimg.com/media/F9Ynt7gXwAAd6KA?format=png&name=medium"
Piotr Skowroński,@ps_frequent_art,2023-10-26T18:07:36.000Z,"Piotr Skowroński
@ps_frequent_art
·
10mReplying to 
@ps_frequent_art",1,0,0,8,0.00,"https://pbs.twimg.com/profile_images/1432692341593231361/T7yOfd17_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/26a1.svg, https://pbs.twimg.com/media/F9Yno5xWYAAEIrb?format=png&name=medium"
"Thysania Regina, the White Witch Queen",@ThysaniaRegina,2023-10-26T18:07:21.000Z,"Thysania Regina, the White Witch Queen
@ThysaniaRegina
·
11mWe don't really know (well, _you_ don't really know), but rumors suggests that the immortal fae overcome by ennui simply slow their metabolism until they become doll-like.  #aiart #midjourney #fairy #fae #dolls #spooktober",0,0,1,3,33.33,"https://pbs.twimg.com/profile_images/1712149711560593409/mJXsEovZ_x96.jpg, https://pbs.twimg.com/media/F9YnOgcboAIgv32?format=jpg&name=medium"
Piotr Skowroński,@ps_frequent_art,2023-10-26T18:07:16.000Z,"Piotr Skowroński
@ps_frequent_art
·
11mReplying to 
@ps_frequent_art",1,0,0,6,0.00,"https://pbs.twimg.com/profile_images/1432692341593231361/T7yOfd17_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/26a1.svg, https://pbs.twimg.com/media/F9Ynj6nWYAAPVaw?format=png&name=medium"
BoofyyJ,@Boofyy4Somethng,2023-10-26T17:55:13.000Z,"BoofyyJ
@Boofyy4Somethng
·
23mReplying to 
@Boofyy4Somethng",0,0,3,23,13.04,"https://pbs.twimg.com/profile_images/1707418186570764288/cHOuB2TH_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f383.svg, https://abs-0.twimg.com/emoji/v2/svg/1f49d.svg, https://abs-0.twimg.com/emoji/v2/svg/2b07.svg, https://abs-0.twimg.com/emoji/v2/svg/1f4f7.svg, https://abs-0.twimg.com/emoji/v2/svg/1f4f7.svg, https://abs-0.twimg.com/emoji/v2/svg/2b07.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3a8.svg, https://abs-0.twimg.com/emoji/v2/svg/1f49d.svg, https://pbs.twimg.com/media/F9Yk0E4WgAACj4T?format=jpg&name=medium"
Dona,@DonaTimani,2023-10-26T17:55:08.000Z,"Dona
@DonaTimani
·
23m #aiart #midjourney",0,0,6,27,22.22,"https://pbs.twimg.com/profile_images/1710004441280032768/bg9GFp1O_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f980.svg, https://pbs.twimg.com/media/F9YkX2gXIAAtq1j?format=jpg&name=medium"
Yo What Up Art,@yowhatup_Art,2023-10-26T17:50:43.000Z,"Yo What Up Art
@yowhatup_Art
·
27mMermaid time.  Yall having a nice  day so far?

#niji #midjourneyartwork #MidjourneyAI #midjourney #midjourneyart",2,0,6,49,12.24,"https://pbs.twimg.com/profile_images/1706664965917319169/RYqsalyu_x96.jpg, https://pbs.twimg.com/media/F9YjyF0X0AA3zcf?format=jpg&name=medium"
Morten Elm,@MortenElm,2023-10-26T17:50:01.000Z,"Morten Elm
@MortenElm
·
28m Dog in a suit

 Prompt:
street photo of a dog in a suit, natural light --style raw --ar 16:9

#midjourney #promptshare",0,0,0,3,0.00,"https://pbs.twimg.com/profile_images/1716446342342430720/y_tKE1pM_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f436.svg, https://abs-0.twimg.com/emoji/v2/svg/1f3a8.svg, https://pbs.twimg.com/media/F9Yjn2OW4AEXpmF?format=jpg&name=medium"
