UserName,Handle,Timestamp,Text,Comments,Likes,Retweets,Views,Engagement Score,ImageURLs
Naughty AI Girls,@Naughtyaigirl,2023-10-26T19:01:00.000Z,"Naughty AI Girls
@Naughtyaigirl
·
10mMiss Fortune (Star Guardian) - League of Legends

Enjoy!

#LeagueOfLegends #stablediffusion #midjourneyart #AIグラビア #AIArtwork #aigenerated #AIart #aigirls #AIwaifu #AICommunity #naughtyaigirls",0,0,0,15,0.00,"https://pbs.twimg.com/profile_images/1652417681482739712/ozce6tde_x96.jpg, https://pbs.twimg.com/media/F9WHaHebkAAlycJ?format=jpg&name=medium"
@babbage86,@babbage86,2023-10-26T18:58:57.000Z,"@babbage86
@babbage86
·
12m#AIArtCommuity #AIart #MidjourneyAI #midjourneyart",0,0,3,11,27.27,"https://pbs.twimg.com/profile_images/1706758861053460480/2TBXMZ-C_x96.jpg, https://pbs.twimg.com/media/F9YzZepXsAEA5Eo?format=jpg&name=medium"
Zerrakosis,@elcryptonita,2023-10-26T18:01:19.000Z,"Zerrakosis
@elcryptonita
·
1hB&W
#aiartist #midjourneyart #AIArtwork",1,0,3,41,7.32,"https://pbs.twimg.com/profile_images/1458192109064933379/vuJ1vKNH_x96.png, https://pbs.twimg.com/media/F9YmM8iWIAAxSsB?format=jpg&name=medium"
Jim,@raffel,2023-10-26T17:54:35.000Z,"Jim
@raffel
·
1h
·Decided to do something that's been on my mind the last few weeks today for my #midjourneyart project. Yesterday, I learned a lot from a friend who has a newsletter for MidJourney. Just not enough time to practice any of it today.",0,0,1,16,6.25,"https://pbs.twimg.com/profile_images/1589608418901467136/USOWuDfr_x96.jpg, https://pbs.twimg.com/media/F9YgwcrXEAAnWjH?format=jpg&name=medium"
Yo What Up Art,@yowhatup_Art,2023-10-26T17:50:43.000Z,"Yo What Up Art
@yowhatup_Art
·
1hMermaid time.  Yall having a nice  day so far?

#niji #midjourneyartwork #MidjourneyAI #midjourney #midjourneyart",2,0,10,94,10.64,"https://pbs.twimg.com/profile_images/1706664965917319169/RYqsalyu_x96.jpg, https://pbs.twimg.com/media/F9YjyF0X0AA3zcf?format=jpg&name=medium"
JesperGB Henriksen,@jesper_tweets,2023-10-26T17:41:46.000Z,"JesperGB Henriksen
@jesper_tweets
·
1hReplying to 
@The_DailyAi
 and 
@CadizFFM",0,0,3,44,6.82,"https://pbs.twimg.com/profile_images/1700218758227197952/EnN8ba3j_x96.jpg, https://pbs.twimg.com/media/F9Yhum6XIAAjVF4?format=jpg&name=medium"
AIR_Design,@AIRDesignPort,2023-10-26T17:19:57.000Z,"AIR_Design
@AIRDesignPort
·
1hBeautiful Woman 

#midjourneyV52 #midjourney #digitalart #AIart #AIArtCommuity #midjourneyart #AIartists",0,0,3,19,15.79,"https://pbs.twimg.com/profile_images/1572836923252658176/CqXLzaMe_x96.jpg, https://pbs.twimg.com/media/F9YcvQjWsAE2RWl?format=jpg&name=medium"
CRANK • AIArt • NFT,@crankkk7,2023-10-26T16:35:30.000Z,"CRANK • AIArt • NFT
@crankkk7
·
2hJon Snow 
.
#aiart #ai #digitalart #GameOfThrones #jonsnow #kitharrington #midjourney #midjourneyart #nijijourney #conceptart #fanart #crankai",0,0,4,62,6.45,"https://pbs.twimg.com/profile_images/1717221278695018497/NA90K8XI_x96.jpg, https://abs-0.twimg.com/emoji/v2/svg/1f43a.svg, https://pbs.twimg.com/media/F9YSa5CbkAAqcu4?format=jpg&name=small, https://pbs.twimg.com/media/F9YScxsaQAA5tf1?format=jpg&name=small, https://pbs.twimg.com/media/F9YSefBbkAA2Exc?format=jpg&name=small, https://pbs.twimg.com/media/F9YSgu8aQAAPBOj?format=jpg&name=small"
FBD,@FBD_Agency,2023-10-26T16:34:57.000Z,"FBD
@FBD_Agency
·
2hPerson is standing outside an empty viewing tunnel, in the style of surreal seascapes, multi-layered color fields, video collages, future tech, lively seascapes, media-savvy, color photography pioneer. #midjourneyart #AIart #landscape #landscapes #landscapepainting",0,1,3,20,20.00,"https://pbs.twimg.com/profile_images/1694772262078140417/vqPMMSNK_x96.jpg, https://pbs.twimg.com/media/F9YSX4ha0AAxCiL?format=jpg&name=medium"
FBD,@FBD_Agency,2023-10-26T16:34:34.000Z,"FBD
@FBD_Agency
·
2hPerson is standing outside an empty viewing tunnel, in the style of surreal seascapes, multi-layered color fields, video collages, future tech, lively seascapes, media-savvy, color photography pioneer. #midjourneyart #AIart #landscape #landscapes #landscapepainting",0,1,1,13,15.38,"https://pbs.twimg.com/profile_images/1694772262078140417/vqPMMSNK_x96.jpg, https://pbs.twimg.com/media/F9YSNxybMAATV09?format=jpg&name=medium"
